label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
SDOH → HealthCareAccessAndQuality,SharedDecisionProvider → ShareOptions,6,0.6833,0.7044,0.7271,0.6183
PartnershipProvider → maintainCommunication,SocioEmotionalBehaviour,6,0.7088,0.7095,0.804,0.6127
CareCoordinationProvider,SocioEmotionalBehaviour,6,0.7287,0.7157,0.7546,0.7157
PartnershipProvider → requestsForOpinion,SDOH → HealthCareAccessAndQuality,6,0.6937,0.7248,0.7341,0.6223
PartnershipPatient → build trust,SDOH → EconomicStability,6,0.7119,0.6515,0.8689,0.6154
PartnershipPatient → Clinical care,PartnershipPatient → build trust,6,0.7019,0.6788,0.8014,0.6255
PartnershipPatient → Clinical care,PartnershipProvider → maintainCommunication,6,0.6395,0.615,0.702,0.6015
PartnershipPatient → Clinical care,PartnershipProvider → alignment,6,0.6978,0.6659,0.8057,0.6217
PartnershipPatient → salutation,SDOH → EconomicStability,6,0.6466,0.6466,0.6466,0.6466
PartnershipProvider → alignment,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6273,0.6277,0.6462,0.6079
PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,6,0.6555,0.6717,0.6774,0.6176
PartnershipProvider → maintainCommunication,SDOH → HealthCareAccessAndQuality,6,0.6331,0.6267,0.6503,0.6224
PartnershipPatient → expressOpinions,SharedDecisionPatient → SeekingApproval,6,0.653,0.6639,0.6639,0.6312
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → expressOpinions,6,0.7215,0.7718,0.7784,0.6142
CareCoordinationPatient,PartnershipPatient → Appreciation/Gratitude,6,0.8527,0.8811,0.9709,0.7061
CareCoordinationProvider,SDOH → HealthCareAccessAndQuality,6,0.7257,0.6962,0.8477,0.6331
PartnershipPatient → Clinical care,PartnershipProvider → requestsForOpinion,5,0.7552,0.6172,0.9703,0.6007
CareCoordinationPatient,SharedDecisionPatient → ExploreOptions,5,0.6732,0.658,0.7211,0.6081
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,5,1.0,1.0,1.0,1.0
PartnershipProvider → requestsForOpinion,SocioEmotionalBehaviour,4,0.8194,0.8194,0.8687,0.7702
PartnershipPatient → statePreferences,SDOH → EconomicStability,4,0.7077,0.7077,0.7791,0.6362
PartnershipPatient → alignment,PartnershipProvider → requestsForOpinion,4,0.7002,0.7002,0.755,0.6453
PartnershipProvider → requestsForOpinion,SharedDecisionPatient → ExploreOptions,4,0.6471,0.6471,0.6603,0.6338
SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,4,0.7151,0.7151,0.8021,0.6281
CareCoordinationPatient,PartnershipProvider → maintainCommunication,4,0.6712,0.6712,0.7002,0.6421
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → build trust,4,0.668,0.668,0.7273,0.6087
PartnershipProvider → maintainCommunication,SDOH → SocialAndCommunityContext,4,0.744,0.744,0.7753,0.7126
PartnershipProvider → connection,SDOH → EconomicStability,4,0.7324,0.7324,0.8156,0.6492
PartnershipPatient → statePreferences,SharedDecisionPatient → ApprovalofDecision/Reinforcement,4,0.7006,0.7034,0.7527,0.643
CareCoordinationPatient,PartnershipProvider → connection,4,0.7389,0.7389,0.8092,0.6686
CareCoordinationPatient,PartnershipPatient → connection,4,0.7389,0.7389,0.8092,0.6686
SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,4,0.7025,0.7025,0.7856,0.6194
SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,4,0.7329,0.7329,0.7804,0.6854
PartnershipPatient → expressOpinions,SDOH → SocialAndCommunityContext,4,0.6521,0.6521,0.6856,0.6185
PartnershipPatient → build trust,PartnershipProvider → inviteCollabration,4,0.6406,0.6406,0.6747,0.6066
SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → ExploreOptions,4,0.724,0.724,0.7962,0.6518
PartnershipPatient → statePreferences,PartnershipProvider → maintainCommunication,4,0.8399,0.8399,0.8497,0.8301
CareCoordinationProvider,PartnershipProvider → Clinical Care,4,0.83,0.83,0.83,0.83
PartnershipPatient → statePreferences,SharedDecisionProvider → ShareOptions,4,0.6382,0.6333,0.6729,0.6134
CareCoordinationPatient,PartnershipPatient → alignment,4,0.6777,0.6777,0.7065,0.6488
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
PartnershipPatient → expressOpinions,SharedDecisionProvider → ShareOptions,3,0.7199,0.7434,0.7434,0.6729
PartnershipPatient → expressOpinions,PartnershipProvider → inviteCollabration,3,0.7327,0.7324,0.7335,0.7324
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → build trust,3,0.7267,0.78,0.78,0.6203
CareCoordinationProvider,PartnershipPatient → expressOpinions,3,0.7432,0.7432,0.7432,0.7432
PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
PartnershipProvider → inviteCollabration,SharedDecisionPatient → ApprovalofDecision/Reinforcement,3,0.7221,0.7752,0.7752,0.616
PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → ShareOptions,3,0.7208,0.7164,0.7296,0.7164
CareCoordinationPatient,PartnershipProvider → inviteCollabration,3,0.6871,0.7016,0.7016,0.658
PartnershipPatient → statePreferences,SocioEmotionalBehaviour,2,0.7176,0.7176,0.7176,0.7176
PartnershipPatient → alignment,SDOH → EconomicStability,2,0.8038,0.8038,0.8038,0.8038
PartnershipPatient → expressOpinions,PartnershipProvider → requestsForOpinion,2,0.8016,0.8016,0.8016,0.8016
PartnershipPatient → statePreferences,PartnershipProvider → requestsForOpinion,2,0.6172,0.6172,0.6172,0.6172
PartnershipProvider → alignment,SDOH → SocialAndCommunityContext,2,0.7159,0.7159,0.7159,0.7159
PartnershipPatient → connection,SDOH → SocialAndCommunityContext,2,0.6865,0.6865,0.6865,0.6865
PartnershipPatient → statePreferences,PartnershipProvider → build trust,2,0.6061,0.6061,0.6061,0.6061
PartnershipPatient → alignment,SocioEmotionalBehaviour,2,0.8203,0.8203,0.8203,0.8203
SDOH → EconomicStability,SDOH → EducationAccessAndQuality,2,0.6546,0.6546,0.6546,0.6546
PartnershipPatient → expressOpinions,SharedDecisionPatient → ExploreOptions,2,0.6091,0.6091,0.6091,0.6091
SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6189,0.6189,0.6189,0.6189
PartnershipPatient → connection,SocioEmotionalBehaviour,2,0.6535,0.6535,0.6535,0.6535
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → statePreferences,2,0.7858,0.7858,0.7858,0.7858
CareCoordinationProvider,PartnershipProvider → maintainCommunication,2,0.6761,0.6761,0.6761,0.6761
PartnershipProvider → checkingUnderstanding/clarification,PartnershipProvider → maintainCommunication,2,0.724,0.724,0.724,0.724
CareCoordinationProvider,PartnershipProvider → checkingUnderstanding/clarification,2,0.6711,0.6711,0.6711,0.6711
PartnershipProvider → checkingUnderstanding/clarification,SDOH → HealthCareAccessAndQuality,2,0.6395,0.6395,0.6395,0.6395
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,2,0.9381,0.9381,0.9381,0.9381
PartnershipPatient → connection,SDOH → EconomicStability,2,0.6492,0.6492,0.6492,0.6492
PartnershipPatient → statePreferences,PartnershipProvider → checkingUnderstanding/clarification,2,0.7003,0.7003,0.7003,0.7003
PartnershipPatient → expressOpinions,PartnershipProvider → checkingUnderstanding/clarification,2,0.6023,0.6023,0.6023,0.6023
PartnershipProvider → build trust,SDOH → EconomicStability,2,0.8732,0.8732,0.8732,0.8732
CareCoordinationPatient,SDOH → SocialAndCommunityContext,2,0.6421,0.6421,0.6421,0.6421
CareCoordinationPatient,PartnershipProvider → Clinical Care,2,0.6245,0.6245,0.6245,0.6245
PartnershipPatient → alignment,PartnershipPatient → expressOpinions,2,0.6435,0.6435,0.6435,0.6435
PartnershipProvider → Clinical Care,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6107,0.6107,0.6107,0.6107
PartnershipPatient → connection,PartnershipPatient → expressOpinions,2,0.8115,0.8115,0.8115,0.8115
PartnershipPatient → statePreferences,SDOH → SocialAndCommunityContext,2,0.6039,0.6039,0.6039,0.6039
SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → SeekingApproval,2,0.8191,0.8191,0.8191,0.8191
PartnershipPatient → connection,SharedDecisionPatient → SeekingApproval,2,0.6155,0.6155,0.6155,0.6155
PartnershipProvider → inviteCollabration,SDOH → EconomicStability,2,0.6003,0.6003,0.6003,0.6003
PartnershipProvider → Clinical Care,SocioEmotionalBehaviour,2,0.6034,0.6034,0.6034,0.6034
CareCoordinationProvider,PartnershipProvider → inviteCollabration,2,0.7594,0.7594,0.7594,0.7594
SDOH → SocialAndCommunityContext,SharedDecisionPatient → SeekingApproval,2,0.8825,0.8825,0.8825,0.8825
PartnershipProvider → checkingUnderstanding/clarification,SocioEmotionalBehaviour,2,0.7337,0.7337,0.7337,0.7337
CareCoordinationPatient,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6915,0.6915,0.6915,0.6915
PartnershipPatient → expressOpinions,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6285,0.6285,0.6541,0.6029
SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionProvider → Approval/Reinforcement,2,0.6477,0.6477,0.6477,0.6477
PartnershipProvider → inviteCollabration,SharedDecisionProvider → Approval/Reinforcement,2,0.635,0.635,0.635,0.635
PartnershipProvider → inviteCollabration,SharedDecisionProvider → ShareOptions,2,0.9113,0.9113,0.9113,0.9113
CareCoordinationPatient,SharedDecisionProvider → ShareOptions,2,0.6127,0.6127,0.6239,0.6014
PartnershipPatient → alignment,SDOH → HealthCareAccessAndQuality,2,0.9848,0.9848,0.9848,0.9848
SharedDecisionPatient → ExploreOptions,SocioEmotionalBehaviour,2,0.6032,0.6032,0.6038,0.6025
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → signoff,2,0.6547,0.6547,0.6547,0.6547
PartnershipPatient → alignment,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6821,0.6821,0.6821,0.6821
SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.7519,0.7519,0.7519,0.7519
PartnershipPatient → Appreciation/Gratitude,SDOH → HealthCareAccessAndQuality,2,0.8331,0.8331,0.8331,0.8331
PartnershipPatient → build trust,SocioEmotionalBehaviour,2,0.794,0.794,0.794,0.794
CareCoordinationProvider,PartnershipPatient → alignment,2,0.7123,0.7123,0.7123,0.7123
PartnershipPatient → alignment,PartnershipProvider → Clinical Care,1,0.6106,0.6106,0.6106,0.6106
PartnershipPatient → alignment,PartnershipPatient → build trust,1,0.6158,0.6158,0.6158,0.6158
PartnershipPatient → build trust,SDOH → HealthCareAccessAndQuality,1,0.6003,0.6003,0.6003,0.6003
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,1,0.7225,0.7225,0.7225,0.7225
CareCoordinationProvider,SDOH → SocialAndCommunityContext,1,0.7025,0.7025,0.7025,0.7025
PartnershipPatient → signoff,SDOH → SocialAndCommunityContext,1,0.6335,0.6335,0.6335,0.6335
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,1,1.0,1.0,1.0,1.0
PartnershipPatient → Clinical care,PartnershipProvider → salutation,1,1.0,1.0,1.0,1.0
