method,label,neighbor_disagreement,neighbor_total,disagreement_rate
lsa,PartnershipPatient → Appreciation/Gratitude,167,330,0.5061
lsa,PartnershipPatient → expressOpinions,142,690,0.2058
lsa,CareCoordinationPatient,135,670,0.2015
lsa,SDOH → NeighborhoodAndBuiltEnvironment,119,350,0.34
lsa,SDOH → SocialAndCommunityContext,106,280,0.3786
lsa,PartnershipPatient → statePreferences,85,250,0.34
lsa,PartnershipProvider → signoff,70,110,0.6364
lsa,PartnershipPatient → salutation,68,470,0.1447
lsa,SharedDecisionPatient → SeekingApproval,67,330,0.203
lsa,PartnershipProvider → maintainCommunication,66,130,0.5077
lsa,PartnershipProvider → Clinical Care,61,340,0.1794
lsa,CareCoordinationProvider,55,240,0.2292
lsa,PartnershipProvider → salutation,54,70,0.7714
lsa,SharedDecisionPatient → ExploreOptions,34,140,0.2429
lsa,PartnershipProvider → checkingUnderstanding/clarification,26,70,0.3714
lsa,PartnershipPatient → build trust,24,120,0.2
lsa,PartnershipPatient → connection,23,100,0.23
lsa,PartnershipProvider → inviteCollabration,23,80,0.2875
lsa,PartnershipProvider → requestsForOpinion,19,40,0.475
lsa,PartnershipPatient → alignment,16,50,0.32
lsa,SharedDecisionProvider → ShareOptions,15,40,0.375
lsa,PartnershipProvider → connection,14,40,0.35
lsa,SharedDecisionPatient → ApprovalofDecision/Reinforcement,11,20,0.55
lsa,PartnershipProvider → Appreciation/Gratitude,9,10,0.9
lsa,PartnershipProvider → alignment,8,30,0.2667
lsa,PartnershipProvider → build trust,4,10,0.4
lsa,SharedDecisionProvider → Approval/Reinforcement,4,10,0.4
lsa,SDOH → EducationAccessAndQuality,1,40,0.025
lsa,SharedDecisionProvider → MakeDecision,0,20,0.0
jaccard,PartnershipPatient → signoff,126,540,0.2333
jaccard,PartnershipPatient → Appreciation/Gratitude,98,330,0.297
jaccard,PartnershipPatient → salutation,60,470,0.1277
jaccard,PartnershipProvider → signoff,48,110,0.4364
jaccard,PartnershipProvider → salutation,47,70,0.6714
jaccard,PartnershipPatient → activeParticipation/involvement,41,2390,0.0172
jaccard,PartnershipPatient → Clinical care,20,4020,0.005
jaccard,PartnershipProvider → maintainCommunication,14,130,0.1077
jaccard,PartnershipPatient → expressOpinions,12,690,0.0174
jaccard,PartnershipPatient → statePreferences,6,250,0.024
jaccard,PartnershipProvider → Appreciation/Gratitude,5,10,0.5
jaccard,CareCoordinationPatient,4,670,0.006
jaccard,PartnershipPatient → connection,4,100,0.04
jaccard,CareCoordinationProvider,2,240,0.0083
jaccard,PartnershipPatient → alignment,2,50,0.04
jaccard,SDOH → HealthCareAccessAndQuality,2,1650,0.0012
jaccard,PartnershipProvider → Clinical Care,1,340,0.0029
jaccard,PartnershipProvider → alignment,1,30,0.0333
jaccard,PartnershipProvider → checkingUnderstanding/clarification,1,70,0.0143
jaccard,PartnershipProvider → connection,1,40,0.025
jaccard,SDOH → EconomicStability,1,1120,0.0009
jaccard,SDOH → NeighborhoodAndBuiltEnvironment,1,350,0.0029
jaccard,SDOH → SocialAndCommunityContext,1,280,0.0036
jaccard,SharedDecisionPatient → SeekingApproval,1,330,0.003
jaccard,PartnershipPatient → build trust,0,120,0.0
jaccard,PartnershipProvider → build trust,0,10,0.0
jaccard,PartnershipProvider → inviteCollabration,0,80,0.0
jaccard,PartnershipProvider → requestsForOpinion,0,40,0.0
jaccard,SDOH → EducationAccessAndQuality,0,40,0.0
jaccard,SharedDecisionPatient → ApprovalofDecision/Reinforcement,0,20,0.0
jaccard,SharedDecisionPatient → ExploreOptions,0,140,0.0
jaccard,SharedDecisionProvider → Approval/Reinforcement,0,10,0.0
jaccard,SharedDecisionProvider → MakeDecision,0,20,0.0
jaccard,SharedDecisionProvider → ShareOptions,0,40,0.0
jaccard,SocioEmotionalBehaviour,0,670,0.0
