level,index,label,llm_label_type,llm_explicitness,llm_target_level,needs_move,justification
subcode,6_4,Connection,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_5,Maintain_communication,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_6,Requests_for_opinion,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_7,acknowledge_patient_expertise/knowledge,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_8,checking_understanding/clarification,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_9,invite_collaboration,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_10,salutation,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_11,signoff,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,7_1,Explore_options,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,7_2,Seeking_Approval,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,7_3,approval_of_decision,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,8_1,Approval/Reinforcement,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,8_2,Encourage_questions,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,8_3,Making_decision_together,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,8_4,Share_options,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,8_5,Summarize_and_confirm_understanding,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,9_1,Acknowledge_Error,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,9_2,Express_concern/unease,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,9_3,Positive_Remarks/Reward,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,9_4,Reassurance,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,9_5,Sadness/fear,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_1,Employment_Status,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_2,Financial_Insecurity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_3,Housing_Insecurity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_4,Housing_Instability,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_5,Income,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_6,Socioeconomic_Factors,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_7,Socioeconomic_Status_(SES),LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_1_8,Work-related_Challenges,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_1,Diet,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_2,Health_Access,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_3,Insurance,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_4,Lifestyle,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_5,Physical_Activity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_6,Sleep,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,1_3_7,Substance_Use/Abuse,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_1,Employment_Status,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_2,Financial_Insecurity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_3,Housing_Insecurity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_4,Housing_Instability,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_5,Income,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_6,Socioeconomic_Factors,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_7,Socioeconomic_Status_(SES),LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_1_8,Work-related_Challenges,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_1,Diet,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_2,Health_Access,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_3,Insurance,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_4,Lifestyle,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_5,Physical_Activity,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_6,Sleep,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subsubcode,3_3_7,Substance_Use/Abuse,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
