label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,2,0.602,0.602,0.602,0.602
SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → ExploreOptions,2,0.7747,0.7747,0.7747,0.7747
SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,2,0.7388,0.7388,0.7388,0.7388
PartnershipPatient → connection,PartnershipPatient → expressOpinions,2,0.6235,0.6235,0.6235,0.6235
SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → SeekingApproval,2,0.6902,0.6902,0.6902,0.6902
PartnershipPatient → statePreferences,SDOH → EconomicStability,2,0.7801,0.7801,0.7801,0.7801
PartnershipPatient → statePreferences,PartnershipProvider → maintainCommunication,2,0.6467,0.6467,0.6467,0.6467
SDOH → SocialAndCommunityContext,SharedDecisionPatient → SeekingApproval,2,0.7405,0.7405,0.7405,0.7405
SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,2,0.6788,0.6788,0.6788,0.6788
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,2,0.9375,0.9375,0.9375,0.9375
PartnershipProvider → inviteCollabration,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.7676,0.7676,0.7676,0.7676
CareCoordinationPatient,PartnershipPatient → Appreciation/Gratitude,2,0.6766,0.6766,0.6766,0.6766
PartnershipProvider → inviteCollabration,SharedDecisionProvider → ShareOptions,2,0.7161,0.7161,0.7161,0.7161
PartnershipPatient → alignment,SDOH → NeighborhoodAndBuiltEnvironment,2,0.657,0.657,0.657,0.657
SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.6225,0.6225,0.6225,0.6225
PartnershipPatient → Appreciation/Gratitude,SDOH → HealthCareAccessAndQuality,2,0.6907,0.6907,0.6907,0.6907
CareCoordinationProvider,PartnershipPatient → alignment,2,0.6513,0.6513,0.6513,0.6513
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,1,1.0,1.0,1.0,1.0
PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
