label_A,label_B,count
Care_Coordination,Explore_options,11
Drugs,Share_options,11
Economic_stability,Health_care_access_and_quality,11
Drugs,checking_understanding/clarification,11
Economic_stability,General_information,11
Drugs,Making_decision_together,10
Alignment,Care_Coordination,10
Maintain_communication,express_opinions,10
Scheduling_appt,checking_understanding/clarification,10
Acknowledge_Error,Express_concern/unease,10
Prognosis,active_participation_/involvement,10
Alignment,Approval/Reinforcement,9
Economic_stability,Scheduling_appt,9
Health_care_access_and_quality,checking_understanding/clarification,9
Health_care_access_and_quality,Maintain_communication,9
Connection,Symptoms,9
Approval/Reinforcement,Connection,9
Express_concern/unease,Symptoms,9
Connection,Maintain_communication,9
Connection,Scheduling_appt,9
Alignment,salutation,9
Scheduling_appt,Share_options,9
Approval/Reinforcement,active_participation_/involvement,8
Scheduling_appt,invite_collaboration,8
Diagnostics,Share_options,8
Diagnostics,Express_concern/unease,8
Connection,active_participation_/involvement,8
Appreciation/gratitude,active_participation_/involvement,8
Care_Coordination,Economic_stability,8
checking_understanding/clarification,express_opinions,8
Acknowledge_Error,Sadness/fear,8
Care_Coordination,Seeking_Approval,7
Approval/Reinforcement,Care_Coordination,7
Positive_Remarks/Reward,Symptoms,7
Diagnostics,Seeking_Approval,7
Connection,Positive_Remarks/Reward,7
Economic_stability,active_participation_/involvement,7
active_participation_/involvement,express_opinions,7
Diagnostics,state_preferences,7
active_participation_/involvement,invite_collaboration,7
Maintain_communication,state_preferences,7
express_opinions,state_preferences,7
Express_concern/unease,Reassurance,6
Diagnostics,build_trust,6
Diagnostics,Explore_options,6
Diagnostics,Economic_stability,6
Prognosis,Symptoms,6
Connection,Sadness/fear,6
General_information,state_preferences,6
Care_Coordination,Reassurance,6
General_information,invite_collaboration,6
Appreciation/gratitude,Care_Coordination,6
invite_collaboration,state_preferences,6
Explore_options,Health_care_access_and_quality,5
Explore_options,Scheduling_appt,5
Drugs,Symptoms,5
Alignment,General_information,5
Acknowledge_Error,Connection,5
Making_decision_together,instruction,5
Diagnostics,Reassurance,5
Express_concern/unease,Seeking_Approval,5
Approval/Reinforcement,Share_options,5
Reassurance,Symptoms,5
Seeking_Approval,state_preferences,5
Diagnostics,Making_decision_together,5
General_information,checking_understanding/clarification,5
Diagnostics,Neighborhood_and_built_environment,5
Drugs,Economic_stability,4
Approval/Reinforcement,General_information,4
General_information,Reassurance,4
Diagnostics,Summarize_and_confirm_understanding,4
Health_care_access_and_quality,Symptoms,4
Alignment,Diagnostics,4
checking_understanding/clarification,state_preferences,4
Express_concern/unease,General_information,4
Diagnostics,Symptoms,4
Sadness/fear,Symptoms,4
Express_concern/unease,active_participation_/involvement,4
Symptoms,state_preferences,4
Health_care_access_and_quality,Prognosis,4
Maintain_communication,invite_collaboration,4
Care_Coordination,Share_options,4
Diagnostics,Prognosis,4
Making_decision_together,Seeking_Approval,4
Prognosis,Summarize_and_confirm_understanding,4
Explore_options,Maintain_communication,4
Drugs,Express_concern/unease,4
Connection,salutation,4
Economic_stability,instruction,4
Drugs,state_preferences,4
Share_options,Symptoms,4
Scheduling_appt,signoff,4
Seeking_Approval,express_opinions,4
Maintain_communication,Symptoms,4
Encourage_questions,active_participation_/involvement,3
Economic_stability,Symptoms,3
Economic_stability,invite_collaboration,3
Alignment,Reassurance,3
Maintain_communication,checking_understanding/clarification,3
express_opinions,instruction,3
Approval/Reinforcement,Explore_options,3
Economic_stability,Maintain_communication,3
General_information,Share_options,3
instruction,invite_collaboration,3
Making_decision_together,Share_options,3
Making_decision_together,active_participation_/involvement,3
Explore_options,Making_decision_together,3
Acknowledge_Error,active_participation_/involvement,3
Alignment,invite_collaboration,3
Share_options,invite_collaboration,2
Encourage_questions,General_information,2
Acknowledge_Error,General_information,2
Alignment,Drugs,2
Drugs,invite_collaboration,2
General_information,build_trust,2
Approval/Reinforcement,Health_care_access_and_quality,2
Reassurance,instruction,2
build_trust,express_opinions,2
General_information,Making_decision_together,2
Diagnostics,invite_collaboration,2
Alignment,Health_care_access_and_quality,2
Approval/Reinforcement,Reassurance,2
Appreciation/gratitude,Positive_Remarks/Reward,2
Appreciation/gratitude,salutation,2
Maintain_communication,Share_options,2
Approval/Reinforcement,Express_concern/unease,2
Sadness/fear,instruction,2
Symptoms,instruction,2
Connection,instruction,2
Connection,express_opinions,2
Seeking_Approval,Share_options,2
Share_options,active_participation_/involvement,2
Explore_options,Symptoms,2
Summarize_and_confirm_understanding,Symptoms,2
Explore_options,General_information,2
Explore_options,Share_options,2
Reassurance,active_participation_/involvement,2
active_participation_/involvement,build_trust,2
Approval/Reinforcement,instruction,2
Seeking_Approval,invite_collaboration,2
Approval/Reinforcement,invite_collaboration,2
Maintain_communication,build_trust,2
Prognosis,checking_understanding/clarification,2
Acknowledge_Error,Care_Coordination,2
General_information,Summarize_and_confirm_understanding,2
Summarize_and_confirm_understanding,active_participation_/involvement,2
Summarize_and_confirm_understanding,express_opinions,2
Making_decision_together,express_opinions,2
General_information,Seeking_Approval,2
Making_decision_together,Scheduling_appt,2
Share_options,express_opinions,2
Seeking_Approval,checking_understanding/clarification,2
Approval/Reinforcement,checking_understanding/clarification,2
Acknowledge_Error,instruction,2
Care_Coordination,checking_understanding/clarification,2
Care_Coordination,Making_decision_together,2
instruction,state_preferences,2
Acknowledge_Error,Reassurance,2
Alignment,state_preferences,2
express_opinions,invite_collaboration,2
Maintain_communication,signoff,2
Appreciation/gratitude,Scheduling_appt,2
Explore_options,express_opinions,2
Express_concern/unease,Making_decision_together,2
Alignment,Appreciation/gratitude,1
checking_understanding/clarification,instruction,1
Health_care_access_and_quality,express_opinions,1
Connection,invite_collaboration,1
Alignment,Symptoms,1
Approval/Reinforcement,Economic_stability,1
Alignment,Economic_stability,1
Care_Coordination,build_trust,1
Care_Coordination,signoff,1
Explore_options,instruction,1
Summarize_and_confirm_understanding,instruction,1
Maintain_communication,Reassurance,1
Appreciation/gratitude,Maintain_communication,1
Making_decision_together,invite_collaboration,1
Approval/Reinforcement,Making_decision_together,1
Symptoms,signoff,1
Approval/Reinforcement,express_opinions,1
Positive_Remarks/Reward,Reassurance,1
Care_Coordination,invite_collaboration,1
Acknowledge_Error,Economic_stability,1
Acknowledge_Error,Alignment,1
Acknowledge_Error,Scheduling_appt,1
Acknowledge_Error,Approval/Reinforcement,1
Health_care_access_and_quality,Neighborhood_and_built_environment,1
Neighborhood_and_built_environment,Scheduling_appt,1
Share_options,checking_understanding/clarification,1
Scheduling_appt,Symptoms,1
Economic_stability,state_preferences,1
Connection,state_preferences,1
Maintain_communication,Making_decision_together,1
Health_care_access_and_quality,Seeking_Approval,1
Encourage_questions,invite_collaboration,1
Approval/Reinforcement,state_preferences,1
