method,label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
sbert,CareCoordinationProvider,PartnershipPatient → activeParticipation/involvement,23,0.6442,0.6337,0.6996,0.6008
sbert,SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,22,0.6505,0.6408,0.7245,0.608
sbert,CareCoordinationPatient,PartnershipPatient → Clinical care,22,0.6758,0.6626,0.8055,0.6032
sbert,CareCoordinationProvider,PartnershipPatient → Clinical care,20,0.6676,0.666,0.7275,0.6117
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,19,0.7066,0.7537,0.8087,0.6074
sbert,CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,17,0.6246,0.6232,0.6445,0.6015
sbert,SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,17,0.7095,0.6722,0.8547,0.6449
sbert,PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,14,0.9165,0.8539,1.0,0.8539
sbert,PartnershipPatient → connection,PartnershipProvider → connection,13,0.7387,0.7185,1.0,0.6417
sbert,CareCoordinationPatient,SharedDecisionPatient → ExploreOptions,13,0.6686,0.6524,0.7825,0.6085
sbert,CareCoordinationProvider,SharedDecisionPatient → SeekingApproval,13,0.659,0.6422,0.7691,0.6159
sbert,PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,13,0.7067,0.6691,0.8068,0.6074
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,12,0.9476,1.0,1.0,0.8314
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → Clinical Care,10,0.6724,0.6351,0.7546,0.618
sbert,PartnershipPatient → Clinical care,PartnershipPatient → salutation,9,1.0,1.0,1.0,1.0
sbert,SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,8,0.6515,0.6542,0.6844,0.6134
sbert,CareCoordinationProvider,SDOH → HealthCareAccessAndQuality,8,0.6512,0.6399,0.7231,0.6118
sbert,CareCoordinationProvider,PartnershipProvider → Clinical Care,8,0.6707,0.6707,0.6857,0.6558
sbert,PartnershipProvider → Clinical Care,SDOH → HealthCareAccessAndQuality,7,0.673,0.6818,0.7065,0.6387
sbert,PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,6,0.6925,0.6451,0.804,0.6285
sbert,PartnershipPatient → Clinical care,SocioEmotionalBehaviour,6,0.6374,0.6292,0.6625,0.6205
sbert,PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6557,0.6306,0.7249,0.6116
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → activeParticipation/involvement,6,0.6309,0.6424,0.6424,0.6078
sbert,PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,6,0.6517,0.6329,0.6986,0.6237
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,6,0.6459,0.6576,0.6608,0.6193
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,6,0.6561,0.6274,0.7334,0.6009
sbert,PartnershipPatient → Clinical care,PartnershipPatient → connection,6,0.6353,0.6388,0.6429,0.624
sbert,SharedDecisionPatient → ExploreOptions,SharedDecisionPatient → SeekingApproval,5,0.6213,0.616,0.6404,0.6049
sbert,PartnershipPatient → statePreferences,SharedDecisionPatient → SeekingApproval,5,0.6533,0.6353,0.6997,0.6159
sbert,PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,5,0.6603,0.6424,0.7025,0.6118
sbert,CareCoordinationProvider,SharedDecisionPatient → ExploreOptions,4,0.6196,0.6196,0.6373,0.6018
sbert,SDOH → EconomicStability,SocioEmotionalBehaviour,4,0.6186,0.6186,0.632,0.6052
sbert,PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,4,0.6359,0.6359,0.6392,0.6326
sbert,PartnershipPatient → expressOpinions,SDOH → EconomicStability,4,0.7156,0.7156,0.755,0.6761
sbert,PartnershipPatient → Clinical care,PartnershipProvider → inviteCollabration,4,0.7264,0.7264,0.7356,0.7171
sbert,CareCoordinationPatient,SocioEmotionalBehaviour,4,0.6536,0.6536,0.6877,0.6195
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,4,0.7248,0.7248,0.7314,0.7182
sbert,CareCoordinationPatient,PartnershipProvider → maintainCommunication,4,0.6329,0.6329,0.6509,0.6149
sbert,PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
sbert,CareCoordinationPatient,PartnershipProvider → Clinical Care,3,0.6456,0.6491,0.6491,0.6388
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,3,0.9026,0.8539,1.0,0.8539
sbert,PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
sbert,PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,2,0.6483,0.6483,0.6483,0.6483
sbert,PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,2,0.6806,0.6806,0.6806,0.6806
sbert,PartnershipPatient → connection,SDOH → SocialAndCommunityContext,2,0.6591,0.6591,0.6591,0.6591
sbert,PartnershipPatient → Appreciation/Gratitude,SocioEmotionalBehaviour,2,0.6103,0.6103,0.6103,0.6103
sbert,CareCoordinationProvider,PartnershipPatient → statePreferences,2,0.6412,0.6412,0.6658,0.6167
sbert,SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,2,0.695,0.695,0.695,0.695
sbert,PartnershipProvider → inviteCollabration,SharedDecisionPatient → SeekingApproval,2,0.6463,0.6463,0.6463,0.6463
sbert,PartnershipProvider → maintainCommunication,SocioEmotionalBehaviour,2,0.7132,0.7132,0.7132,0.7132
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6588,0.6588,0.6588,0.6588
sbert,PartnershipPatient → statePreferences,SDOH → HealthCareAccessAndQuality,2,0.6393,0.6393,0.6772,0.6014
sbert,PartnershipPatient → Clinical care,PartnershipPatient → build trust,2,0.6176,0.6176,0.6176,0.6176
sbert,SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,2,0.6146,0.6146,0.6146,0.6146
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → Approval/Reinforcement,2,0.6122,0.6122,0.6122,0.6122
sbert,CareCoordinationPatient,SDOH → EconomicStability,2,0.6267,0.6267,0.6267,0.6267
sbert,PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,2,0.6091,0.6091,0.6091,0.6091
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,2,0.9472,0.9472,0.9472,0.9472
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → expressOpinions,2,0.6268,0.6268,0.6268,0.6268
sbert,SDOH → EconomicStability,SharedDecisionPatient → SeekingApproval,2,0.6161,0.6161,0.6161,0.6161
sbert,SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,2,0.8002,0.8002,0.8002,0.8002
sbert,SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionProvider → Approval/Reinforcement,2,0.7259,0.7259,0.7259,0.7259
sbert,PartnershipProvider → Clinical Care,PartnershipProvider → inviteCollabration,2,0.6366,0.6366,0.6366,0.6366
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → ShareOptions,2,0.6588,0.6588,0.6588,0.6588
sbert,CareCoordinationPatient,PartnershipProvider → inviteCollabration,2,0.684,0.684,0.684,0.684
sbert,SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.6168,0.6168,0.6168,0.6168
sbert,CareCoordinationPatient,PartnershipPatient → statePreferences,2,0.6867,0.6867,0.6867,0.6867
sbert,CareCoordinationProvider,PartnershipProvider → maintainCommunication,2,0.8007,0.8007,0.8007,0.8007
sbert,PartnershipProvider → maintainCommunication,SharedDecisionPatient → ExploreOptions,2,0.6723,0.6723,0.6723,0.6723
sbert,CareCoordinationPatient,PartnershipPatient → expressOpinions,2,0.6473,0.6473,0.6473,0.6473
sbert,PartnershipPatient → statePreferences,PartnershipProvider → Clinical Care,1,0.6457,0.6457,0.6457,0.6457
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → requestsForOpinion,1,0.6049,0.6049,0.6049,0.6049
sbert,PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
sbert,PartnershipPatient → Clinical care,PartnershipProvider → salutation,1,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,184,0.9604,1.0,1.0,0.607
tfidf,PartnershipPatient → signoff,PartnershipProvider → signoff,140,0.9731,1.0,1.0,0.6079
tfidf,PartnershipPatient → salutation,PartnershipProvider → salutation,116,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,50,0.8213,0.779,1.0,0.6138
tfidf,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,41,0.9904,1.0,1.0,0.6079
tfidf,PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,38,0.7164,0.6943,1.0,0.6007
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,30,0.7309,0.6773,0.9798,0.6195
tfidf,PartnershipPatient → Clinical care,SocioEmotionalBehaviour,25,0.7355,0.7004,1.0,0.6264
tfidf,PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,25,0.6832,0.6755,1.0,0.6001
tfidf,PartnershipPatient → Clinical care,SDOH → EconomicStability,21,0.7678,0.7518,1.0,0.617
tfidf,PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,20,0.8094,0.7508,1.0,0.6166
tfidf,PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,20,0.7085,0.6831,0.8281,0.6272
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,19,0.7758,0.6986,1.0,0.6455
tfidf,CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,18,0.6889,0.6603,0.9041,0.602
tfidf,PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,14,0.7055,0.6865,0.8294,0.6275
tfidf,SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,12,0.697,0.7068,0.7849,0.6076
tfidf,PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,12,0.792,0.7358,1.0,0.6276
tfidf,PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,12,1.0,1.0,1.0,1.0
tfidf,SDOH → HealthCareAccessAndQuality,SocioEmotionalBehaviour,10,0.6543,0.6414,0.7193,0.6178
tfidf,PartnershipPatient → Clinical care,PartnershipPatient → salutation,10,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,8,0.6627,0.6522,0.7432,0.6032
tfidf,PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,8,0.7137,0.7115,0.8226,0.6092
tfidf,PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,8,0.7138,0.7145,0.7957,0.6304
tfidf,SDOH → EconomicStability,SocioEmotionalBehaviour,7,0.6896,0.6257,1.0,0.6129
tfidf,PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,7,0.7156,0.6823,1.0,0.6102
tfidf,SDOH → SocialAndCommunityContext,SocioEmotionalBehaviour,6,0.8149,0.7508,1.0,0.6939
tfidf,PartnershipPatient → Clinical care,SDOH → NeighborhoodAndBuiltEnvironment,6,0.7014,0.6726,0.781,0.6507
tfidf,SDOH → HealthCareAccessAndQuality,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6344,0.6287,0.6659,0.6084
tfidf,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,5,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,5,0.7112,0.6432,1.0,0.6347
tfidf,PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,5,0.7395,0.7173,1.0,0.6316
tfidf,PartnershipProvider → checkingUnderstanding/clarification,SDOH → EconomicStability,4,0.6459,0.6459,0.6886,0.6032
tfidf,SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,4,0.7206,0.7206,0.7972,0.6439
tfidf,CareCoordinationProvider,PartnershipPatient → Clinical care,4,0.6356,0.6356,0.6649,0.6062
tfidf,CareCoordinationPatient,PartnershipPatient → expressOpinions,4,0.6627,0.6627,0.689,0.6363
tfidf,CareCoordinationPatient,PartnershipPatient → Clinical care,4,0.6172,0.6172,0.6283,0.6061
tfidf,SDOH → EconomicStability,SDOH → SocialAndCommunityContext,4,0.6446,0.6446,0.6446,0.6446
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,4,0.7877,0.7877,0.935,0.6405
tfidf,PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,4,0.6754,0.6754,0.6963,0.6545
tfidf,PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,4,0.6647,0.6647,0.6689,0.6605
tfidf,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,4,0.6098,0.6098,0.612,0.6076
tfidf,PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,4,0.719,0.719,0.7775,0.6606
tfidf,CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,4,0.689,0.689,0.6983,0.6797
tfidf,CareCoordinationPatient,CareCoordinationProvider,4,0.7956,0.7956,0.7956,0.7956
tfidf,PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → connection,PartnershipProvider → connection,3,0.7479,0.6219,1.0,0.6219
tfidf,PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,2,0.7234,0.7234,0.7234,0.7234
tfidf,PartnershipProvider → requestsForOpinion,SocioEmotionalBehaviour,2,0.6201,0.6201,0.6201,0.6201
tfidf,SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6535,0.6535,0.6535,0.6535
tfidf,PartnershipPatient → alignment,PartnershipProvider → requestsForOpinion,2,0.6158,0.6158,0.6158,0.6158
tfidf,PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6561,0.6561,0.6561,0.6561
tfidf,PartnershipPatient → expressOpinions,SharedDecisionProvider → ShareOptions,2,0.6788,0.6788,0.6788,0.6788
tfidf,SDOH → NeighborhoodAndBuiltEnvironment,SocioEmotionalBehaviour,2,0.7712,0.7712,0.7712,0.7712
tfidf,CareCoordinationPatient,PartnershipPatient → statePreferences,2,0.6363,0.6363,0.6363,0.6363
tfidf,PartnershipPatient → connection,SocioEmotionalBehaviour,2,0.6383,0.6383,0.6383,0.6383
tfidf,PartnershipPatient → activeParticipation/involvement,SDOH → NeighborhoodAndBuiltEnvironment,2,0.7008,0.7008,0.7008,0.7008
tfidf,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → statePreferences,2,0.6157,0.6157,0.6157,0.6157
tfidf,PartnershipProvider → connection,SDOH → EconomicStability,2,0.6846,0.6846,0.6846,0.6846
tfidf,PartnershipProvider → maintainCommunication,SDOH → SocialAndCommunityContext,2,0.6086,0.6086,0.6086,0.6086
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,2,0.6219,0.6219,0.6219,0.6219
tfidf,SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,2,0.6984,0.6984,0.6984,0.6984
tfidf,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → build trust,2,0.6008,0.6008,0.6008,0.6008
tfidf,PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,2,0.602,0.602,0.602,0.602
tfidf,SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → ExploreOptions,2,0.7747,0.7747,0.7747,0.7747
tfidf,SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,2,0.7388,0.7388,0.7388,0.7388
tfidf,PartnershipPatient → connection,PartnershipPatient → expressOpinions,2,0.6235,0.6235,0.6235,0.6235
tfidf,SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → SeekingApproval,2,0.6902,0.6902,0.6902,0.6902
tfidf,PartnershipPatient → statePreferences,SDOH → EconomicStability,2,0.7801,0.7801,0.7801,0.7801
tfidf,PartnershipPatient → statePreferences,PartnershipProvider → maintainCommunication,2,0.6467,0.6467,0.6467,0.6467
tfidf,SDOH → SocialAndCommunityContext,SharedDecisionPatient → SeekingApproval,2,0.7405,0.7405,0.7405,0.7405
tfidf,SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,2,0.6788,0.6788,0.6788,0.6788
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,2,0.9375,0.9375,0.9375,0.9375
tfidf,PartnershipProvider → inviteCollabration,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.7676,0.7676,0.7676,0.7676
tfidf,CareCoordinationPatient,PartnershipPatient → Appreciation/Gratitude,2,0.6766,0.6766,0.6766,0.6766
tfidf,PartnershipProvider → inviteCollabration,SharedDecisionProvider → ShareOptions,2,0.7161,0.7161,0.7161,0.7161
tfidf,PartnershipPatient → alignment,SDOH → NeighborhoodAndBuiltEnvironment,2,0.657,0.657,0.657,0.657
tfidf,SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.6225,0.6225,0.6225,0.6225
tfidf,PartnershipPatient → Appreciation/Gratitude,SDOH → HealthCareAccessAndQuality,2,0.6907,0.6907,0.6907,0.6907
tfidf,CareCoordinationProvider,PartnershipPatient → alignment,2,0.6513,0.6513,0.6513,0.6513
tfidf,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,1,1.0,1.0,1.0,1.0
tfidf,PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
lsa,PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,288,0.7076,0.6891,1.0,0.6013
lsa,PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,210,0.7113,0.6961,1.0,0.6002
lsa,PartnershipPatient → Clinical care,SDOH → EconomicStability,207,0.7249,0.702,1.0,0.6002
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,179,0.9351,1.0,1.0,0.6138
lsa,PartnershipPatient → Clinical care,SocioEmotionalBehaviour,163,0.7322,0.6977,1.0,0.6012
lsa,PartnershipPatient → signoff,PartnershipProvider → signoff,146,0.9908,1.0,1.0,0.8516
lsa,PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,119,0.7427,0.7145,1.0,0.601
lsa,PartnershipPatient → salutation,PartnershipProvider → salutation,119,1.0,1.0,1.0,1.0
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,83,0.8145,0.796,1.0,0.6048
lsa,PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,83,0.6852,0.6742,0.89,0.6015
lsa,PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,82,0.7739,0.7461,0.9888,0.6193
lsa,PartnershipPatient → Clinical care,SDOH → NeighborhoodAndBuiltEnvironment,80,0.7138,0.6909,0.9271,0.6004
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,67,0.7399,0.7009,0.9825,0.6201
lsa,PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,62,0.7207,0.687,0.9838,0.6029
lsa,PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,61,0.7508,0.7243,1.0,0.6016
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,54,0.73,0.6675,1.0,0.6148
lsa,PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,51,0.7085,0.718,0.8244,0.6059
lsa,SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,51,0.7067,0.7049,0.9146,0.6012
lsa,CareCoordinationPatient,PartnershipPatient → Clinical care,50,0.7099,0.7117,0.8883,0.6082
lsa,CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,50,0.6885,0.6622,0.9048,0.6025
lsa,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,46,0.6935,0.6704,0.8591,0.6129
lsa,PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,46,0.749,0.7662,0.9069,0.6088
lsa,SDOH → HealthCareAccessAndQuality,SocioEmotionalBehaviour,45,0.7129,0.7133,0.9888,0.6046
lsa,PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,42,0.6696,0.6349,0.8954,0.6039
lsa,CareCoordinationPatient,CareCoordinationProvider,41,0.7213,0.6595,0.986,0.6108
lsa,SDOH → EconomicStability,SocioEmotionalBehaviour,38,0.7921,0.8057,1.0,0.6122
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,38,0.9721,1.0,1.0,0.6464
lsa,SDOH → HealthCareAccessAndQuality,SDOH → NeighborhoodAndBuiltEnvironment,36,0.7154,0.6931,0.8687,0.6094
lsa,CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,36,0.6696,0.6639,0.8044,0.6001
lsa,PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,35,0.7658,0.7355,1.0,0.6231
lsa,PartnershipPatient → activeParticipation/involvement,SDOH → NeighborhoodAndBuiltEnvironment,30,0.7135,0.6784,0.8712,0.6076
lsa,PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,29,0.7288,0.7072,0.9821,0.6271
lsa,SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,24,0.7207,0.6898,0.9917,0.6026
lsa,PartnershipPatient → expressOpinions,SDOH → EconomicStability,24,0.7202,0.7025,0.9346,0.6009
lsa,PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,22,0.6514,0.6426,0.6995,0.6036
lsa,PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,21,0.7226,0.707,0.895,0.6147
lsa,PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,21,0.7792,0.7787,1.0,0.6059
lsa,PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,19,0.7574,0.7259,1.0,0.6094
lsa,CareCoordinationPatient,PartnershipPatient → statePreferences,19,0.7396,0.7013,0.9249,0.6597
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,18,0.7207,0.6775,0.9282,0.6325
lsa,SDOH → NeighborhoodAndBuiltEnvironment,SocioEmotionalBehaviour,18,0.7165,0.7046,0.8587,0.6158
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → Clinical care,18,0.7096,0.6994,0.8445,0.6232
lsa,SDOH → EconomicStability,SDOH → SocialAndCommunityContext,17,0.6952,0.682,0.7645,0.6295
lsa,PartnershipProvider → checkingUnderstanding/clarification,SDOH → EconomicStability,16,0.6983,0.6698,0.8194,0.6074
lsa,PartnershipProvider → maintainCommunication,SDOH → EconomicStability,16,0.6676,0.6664,0.7109,0.6093
lsa,SDOH → SocialAndCommunityContext,SocioEmotionalBehaviour,16,0.7891,0.7739,1.0,0.6016
lsa,SDOH → HealthCareAccessAndQuality,SDOH → SocialAndCommunityContext,16,0.6627,0.6659,0.7391,0.6007
lsa,CareCoordinationPatient,PartnershipPatient → expressOpinions,16,0.7398,0.7391,0.9249,0.6447
lsa,PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,15,0.7213,0.6963,1.0,0.6375
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → Clinical Care,14,0.6783,0.6632,0.751,0.6302
lsa,PartnershipPatient → Clinical care,PartnershipPatient → connection,14,0.7666,0.7573,0.9657,0.6053
lsa,SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,13,0.7503,0.7103,0.9264,0.6017
lsa,CareCoordinationPatient,SDOH → EconomicStability,12,0.7043,0.7117,0.7624,0.6384
lsa,PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,12,1.0,1.0,1.0,1.0
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → build trust,12,0.7076,0.6922,0.8794,0.6312
lsa,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,12,0.6935,0.662,0.8575,0.6202
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → requestsForOpinion,11,0.7126,0.7535,0.7866,0.6326
lsa,PartnershipPatient → build trust,PartnershipPatient → signoff,10,0.7469,0.7396,0.7953,0.7299
lsa,PartnershipPatient → connection,SDOH → HealthCareAccessAndQuality,10,0.6557,0.6548,0.7041,0.6164
lsa,PartnershipPatient → Appreciation/Gratitude,SocioEmotionalBehaviour,10,0.6617,0.6493,0.704,0.6256
lsa,CareCoordinationProvider,PartnershipPatient → activeParticipation/involvement,10,0.6636,0.6674,0.7477,0.6024
lsa,PartnershipPatient → connection,PartnershipProvider → connection,9,0.8177,0.7927,1.0,0.6948
