pair,src_label,src_text,nbr_label,nbr_text,similarity
Clinical care || EconomicStability,Clinical care,is draining,EconomicStability,my occupation is,0.7785
SocialAndCommunityContext || maintainCommunication,maintainCommunication,This is just a reminder,SocialAndCommunityContext,this is my motherâ€™s phone,0.6104
activeParticipation/involvement || inviteCollabration,inviteCollabration,leave a message,activeParticipation/involvement,please leave message,0.9375
activeParticipation/involvement || maintainCommunication,maintainCommunication,I will call you back,activeParticipation/involvement,I will call you asap,0.8316
activeParticipation/involvement || maintainCommunication,maintainCommunication,I will call you back,activeParticipation/involvement,I  will  call,0.7137
activeParticipation/involvement || connection,connection,Look forward to seeing you,activeParticipation/involvement,I look forward to hearing from you,0.6201
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I do need to reschedule,Clinical care,to  reschedule,0.6857
EconomicStability || HealthCareAccessAndQuality,EconomicStability,I couldn't make the payment,HealthCareAccessAndQuality,how the payment goes?,0.7644
Clinical care || SeekingApproval,SeekingApproval,Can I switch to,Clinical care,I can tolerate,0.8273
Clinical care || SeekingApproval,SeekingApproval,can I schedule an appointment for genetic testing?,Clinical care,schedule an appointment,0.6854
Clinical care || SeekingApproval,SeekingApproval,can I schedule an appointment for genetic testing?,Clinical care,schedule an appointment,0.6854
Clinical care || SeekingApproval,SeekingApproval,can I schedule an appointment for genetic testing?,Clinical care,schedule an appointment for labs,0.6669
Clinical care || SeekingApproval,SeekingApproval,can I schedule an appointment for genetic testing?,Clinical care,to schedule an appointment for counseling,0.6453
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,I  will  call,maintainCommunication,I will call you back,0.7137
Clinical care || activeParticipation/involvement,Clinical care,to  reschedule,activeParticipation/involvement,I do need to reschedule,0.6857
Clinical care || SeekingApproval,Clinical care,to  reschedule,SeekingApproval,Would it be best to reschedule,0.6324
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I want to change,statePreferences,I want to change to,0.9792
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 children,Clinical care,I have difficulty focusing,1.0
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,I have 2 children,activeParticipation/involvement,I have discovered,1.0
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 children,Clinical care,I have a recheck appointment,0.6296
Clinical care || activeParticipation/involvement,activeParticipation/involvement,Need a Paxil refill 10mg,Clinical care,refill  Everything,0.7611
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,Need a Paxil refill 10mg,expressOpinions,I need,0.6487
Clinical care || activeParticipation/involvement,Clinical care,have not been taking it,activeParticipation/involvement,have not been,0.7694
HealthCareAccessAndQuality || SeekingApproval,HealthCareAccessAndQuality,could not get it refilled,SeekingApproval,Can I get it refilled?,0.6971
Appreciation/Gratitude || build trust,build trust,for your reassurance,Appreciation/Gratitude,thank you for your time and your assistance,0.6085
Clinical Care || SeekingApproval,SeekingApproval,Do I ditch the Xanax completely,Clinical Care,Unlike alprazolam (xanax),0.7691
Clinical Care || SeekingApproval,Clinical Care,Unlike alprazolam (xanax),SeekingApproval,Do I ditch the Xanax completely,0.7691
activeParticipation/involvement || build trust,build trust,just want to reassure you again,activeParticipation/involvement,I just want to make sure,0.6029
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I cannot find,expressOpinions,I cannot understand,0.7071
activeParticipation/involvement || statePreferences,activeParticipation/involvement,There's a procedure I am needing as soon as possible,statePreferences,getting this done as soon as possible,0.6867
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,There's a procedure I am needing as soon as possible,maintainCommunication,as soon as a i get a reply,0.6241
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,NeighborhoodAndBuiltEnvironment,being out of town,SocialAndCommunityContext,husband out of town,0.7971
Clinical Care || Clinical care,Clinical care,appointment to follow up,Clinical Care,at your follow up appointment,0.626
Clinical care || statePreferences,Clinical care,my original appointment on the MM/DD/YYYY was canceled,statePreferences,preferably a MM/DD/YYYY morning appointment,0.6421
activeParticipation/involvement || statePreferences,statePreferences,get me in sooner,activeParticipation/involvement,PLEASE fit me in,0.6732
activeParticipation/involvement || statePreferences,statePreferences,get me in sooner,activeParticipation/involvement,get me a referral?,0.6251
alignment || expressOpinions,expressOpinions,hoping that IF is a possibility!!,alignment,That works,0.6031
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,activeParticipation/involvement,I have discovered,0.746
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,Clinical care,I have difficulty focusing,0.746
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,Clinical care,I have a cavity,0.746
EconomicStability || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,EconomicStability,I have to work,0.6468
EconomicStability || SocialAndCommunityContext,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,EconomicStability,I have to work,0.6468
Clinical care || activeParticipation/involvement,Clinical care,just wearing masks,activeParticipation/involvement,I just saw this,0.7153
activeParticipation/involvement || statePreferences,activeParticipation/involvement,PLEASE fit me in,statePreferences,get me in sooner,0.6732
Appreciation/Gratitude || expressOpinions,expressOpinions,I just thought it would be worth a shot,Appreciation/Gratitude,would be greatly appreciated,0.6115
ExploreOptions || HealthCareAccessAndQuality,ExploreOptions,if it was a possiblility,HealthCareAccessAndQuality,it was on HOLD,0.7795
EconomicStability || ExploreOptions,ExploreOptions,if it was a possiblility,EconomicStability,it was much cheaper,0.7406
Clinical care || ExploreOptions,ExploreOptions,if it was a possiblility,Clinical care,It was refilled,0.702
Clinical care || SeekingApproval,Clinical care,would it be possible to get another refill,SeekingApproval,Would it be possible to have,0.7936
Clinical care || ExploreOptions,ExploreOptions,or temporary refill on my birth control,Clinical care,refill on my lantus,0.6532
activeParticipation/involvement || statePreferences,activeParticipation/involvement,Please let me know as soon as possible,statePreferences,getting this done as soon as possible,0.6766
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,Please let me know as soon as possible,maintainCommunication,as soon as a i get a reply,0.6149
Clinical care || activeParticipation/involvement,Clinical care,I have been taking Benadryl,activeParticipation/involvement,I have been taking them,0.7135
Clinical Care || Clinical care,Clinical care,I had a follow up appointment,Clinical Care,at your follow up appointment,0.8236
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,I have discovered,SocialAndCommunityContext,I have voluntarily quarantined,1.0
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I have discovered,Clinical care,I have difficulty focusing,1.0
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,I have discovered,SocialAndCommunityContext,I have 2 children,1.0
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,I have discovered,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,0.746
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I have discovered,Clinical care,I have a recheck appointment,0.6296
Clinical care || expressOpinions,expressOpinions,it is impossible,Clinical care,it is medication related,0.8229
Clinical care || expressOpinions,expressOpinions,it is impossible,Clinical care,it is very tender to touch,0.674
HealthCareAccessAndQuality || expressOpinions,expressOpinions,it is impossible,HealthCareAccessAndQuality,it is a assistance program,0.6646
HealthCareAccessAndQuality || expressOpinions,expressOpinions,it is impossible,HealthCareAccessAndQuality,It is a program from the government,0.6645
ExploreOptions || activeParticipation/involvement,ExploreOptions,Is there any other medication,activeParticipation/involvement,is there any possible way,0.6151
Clinical care || HealthCareAccessAndQuality,Clinical care,I've been out,HealthCareAccessAndQuality,none I've been smoke free for 8weeks,0.7312
HealthCareAccessAndQuality || SeekingApproval,SeekingApproval,Can I get it refilled?,HealthCareAccessAndQuality,could not get it refilled,0.6971
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,I am moving to Org2,HealthCareAccessAndQuality,sent to Org2 on Org2,0.622
Clinical care || activeParticipation/involvement,Clinical care,refill  Everything,activeParticipation/involvement,Need a Paxil refill 10mg,0.7611
Clinical care || HealthCareAccessAndQuality,Clinical care,refill  Everything,HealthCareAccessAndQuality,refill them locally,0.6618
Clinical care || statePreferences,Clinical care,refill  Everything,statePreferences,refill asap,0.6332
HealthCareAccessAndQuality || activeParticipation/involvement,HealthCareAccessAndQuality,I am trying to get a disability placard,activeParticipation/involvement,Trying to finish,0.7731
connection || expressOpinions,expressOpinions,I am supposed to have,connection,Blessed to have,0.6148
Clinical care || SocialAndCommunityContext,Clinical care,call in my addrell medication,SocialAndCommunityContext,in my family,0.6142
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,have not been around the public too much,activeParticipation/involvement,have not been,0.6547
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I did not get it,Clinical care,I did not get hurt,0.7366
Clinical care || activeParticipation/involvement,activeParticipation/involvement,please send to email,Clinical care,Please send a refill prescription,0.6301
NeighborhoodAndBuiltEnvironment || activeParticipation/involvement,NeighborhoodAndBuiltEnvironment,I wonâ€™t be able to drive in it,activeParticipation/involvement,I'll be able to,0.7003
NeighborhoodAndBuiltEnvironment || SeekingApproval,NeighborhoodAndBuiltEnvironment,I wonâ€™t be able to drive in it,SeekingApproval,Would you be able to resubmit it again please?,0.6825
Clinical care || SeekingApproval,SeekingApproval,Would it be possible to have,Clinical care,would it be possible to get another refill,0.7936
Clinical care || EconomicStability,Clinical care,for carpal tunnel surgery,EconomicStability,for a summer internship,1.0
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I want to change,statePreferences,I want to change to,0.9792
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I was just going through,Clinical care,I was just overly exhausted,0.747
Clinical care || EconomicStability,EconomicStability,my occupation is,Clinical care,is draining,0.7785
EconomicStability || statePreferences,EconomicStability,my occupation is,statePreferences,Spanish is preferred,0.7785
Clinical care || EconomicStability,EconomicStability,my occupation is,Clinical care,injured my shoulder,0.6277
Clinical care || SocialAndCommunityContext,Clinical care,I have difficulty focusing,SocialAndCommunityContext,I have voluntarily quarantined,1.0
Clinical care || activeParticipation/involvement,Clinical care,I have difficulty focusing,activeParticipation/involvement,I have discovered,1.0
Clinical care || SocialAndCommunityContext,Clinical care,I have difficulty focusing,SocialAndCommunityContext,I have 2 children,1.0
Clinical care || SocialAndCommunityContext,Clinical care,I have difficulty focusing,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,0.746
Clinical care || activeParticipation/involvement,Clinical care,I was just overly exhausted,activeParticipation/involvement,I was just going through,0.747
Clinical care || EconomicStability,Clinical care,The pain gets beyond a 10 daily now,EconomicStability,strain is increasing the pain 10 fold,0.6618
EconomicStability || SocialAndCommunityContext,EconomicStability,I have to work,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,0.6468
Clinical care || EconomicStability,EconomicStability,strain is increasing the pain 10 fold,Clinical care,manage the pain,0.7524
Clinical care || EconomicStability,EconomicStability,strain is increasing the pain 10 fold,Clinical care,The pain gets beyond a 10 daily now,0.6618
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,please let me know,maintainCommunication,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,please let me know,maintainCommunication,Please let me know,1.0
Clinical care || EconomicStability,Clinical care,manage the pain,EconomicStability,strain is increasing the pain 10 fold,0.7524
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to see,statePreferences,I would like to have,0.6837
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to see,expressOpinions,I would like,0.6673
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to see,statePreferences,would like a recommendation,0.6673
Clinical care || EconomicStability,Clinical care,for metronidazole for bacterial vaginitis,EconomicStability,for a summer internship,1.0
Clinical care || expressOpinions,Clinical care,Iâ€™m having the brown discharge,expressOpinions,Iâ€™m assuming,0.6548
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I need to come in,Clinical care,I will need to come in next week too,0.6534
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I need to come in,Clinical care,to come in for a routine check up,0.6292
Clinical care || SeekingApproval,Clinical care,schedule an appointment,SeekingApproval,can I schedule an appointment for genetic testing?,0.6854
Clinical care || statePreferences,statePreferences,preferably a MM/DD/YYYY morning appointment,Clinical care,my original appointment on the MM/DD/YYYY was canceled,0.6421
Clinical care || HealthCareAccessAndQuality,Clinical care,Adderall and zofran,HealthCareAccessAndQuality,eating scrambled eggs and soup,0.6279
activeParticipation/involvement || requestsForOpinion,requestsForOpinion,What is a good address,activeParticipation/involvement,what is my #patient Id,0.6044
Clinical care || NeighborhoodAndBuiltEnvironment,Clinical care,running out of refills,NeighborhoodAndBuiltEnvironment,dfilled out of country,0.666
Clinical care || ExploreOptions,Clinical care,refill on my lantus,ExploreOptions,or temporary refill on my birth control,0.6532
EconomicStability || HealthCareAccessAndQuality,EconomicStability,doesnâ€™t work with my schedule,HealthCareAccessAndQuality,ill help with my insomnia,0.6428
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,Iâ€™m needing,expressOpinions,Iâ€™m assuming,0.7071
Clinical care || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,dfilled out of country,Clinical care,nearly out of the Rybelsus,0.7779
Clinical care || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,dfilled out of country,Clinical care,running out of refills,0.666
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,dfilled out of country,HealthCareAccessAndQuality,out of my pocket,0.6648
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,dfilled out of country,HealthCareAccessAndQuality,"you have $6,350 out of pocket",0.6069
maintainCommunication || statePreferences,maintainCommunication,as soon as a i get a reply,statePreferences,getting this done as soon as possible,0.648
activeParticipation/involvement || maintainCommunication,maintainCommunication,as soon as a i get a reply,activeParticipation/involvement,Please call me as soon as its ready,0.6337
activeParticipation/involvement || maintainCommunication,maintainCommunication,as soon as a i get a reply,activeParticipation/involvement,There's a procedure I am needing as soon as possible,0.6241
activeParticipation/involvement || maintainCommunication,maintainCommunication,as soon as a i get a reply,activeParticipation/involvement,Please let me know as soon as possible,0.6149
Clinical care || NeighborhoodAndBuiltEnvironment,NeighborhoodAndBuiltEnvironment,due to car wreck,Clinical care,due to the discomfort,0.6458
SeekingApproval || activeParticipation/involvement,SeekingApproval,can you electronically send,activeParticipation/involvement,Can you help,0.6725
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,If this isn't possible please let me know,maintainCommunication,Please let me know,0.7639
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,If this isn't possible please let me know,maintainCommunication,Please let me know,0.7639
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,refill them locally,Clinical care,refill  Everything,0.6618
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I am having a very hard time staying awake,EconomicStability,I am having a hard time getting to work,0.6562
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,I am having a very hard time staying awake,EconomicStability,I am having a hard time going to work,0.6167
HealthCareAccessAndQuality || activeParticipation/involvement,HealthCareAccessAndQuality,I will fall asleep,activeParticipation/involvement,I will make,0.6664
HealthCareAccessAndQuality || activeParticipation/involvement,HealthCareAccessAndQuality,I will fall asleep,activeParticipation/involvement,I will discontinue asap,0.6059
Clinical care || expressOpinions,Clinical care,it is medication related,expressOpinions,it is impossible,0.8229
activeParticipation/involvement || expressOpinions,expressOpinions,I cannot understand,activeParticipation/involvement,I cannot find,0.7071
Clinical care || activeParticipation/involvement,Clinical care,I have not been scheduled to have it,activeParticipation/involvement,have not been,0.7088
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to,statePreferences,I would like to have,0.8429
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to,statePreferences,would like a recommendation,0.8227
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to,expressOpinions,I would like,0.8227
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to,expressOpinions,I would like to give them documentation,0.7025
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to,statePreferences,I would like to continue using them,0.6979
activeParticipation/involvement || inviteCollabration,activeParticipation/involvement,I would like to,inviteCollabration,If you would like to double check,0.6499
