pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,PartnershipPatient → connection,Happy Holidays,0.8181
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,PartnershipPatient → connection,Happy Thanksgiving,0.7475
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,PartnershipPatient → connection,Happy Thanksgiving,0.7475
InfoGive → carecoordination || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,InfoGive → carecoordination,If not our manager is Gean Brown and she'd be happy to assist,0.7136
PartnershipProvider → Alignment || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,PartnershipProvider → Alignment,I was happy,0.6665
PartnershipProvider → Alignment || PartnershipProvider → connection,PartnershipProvider → connection,be happy to,PartnershipProvider → Alignment,I was happy,0.6665
InfoGive → Diagnostics || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,"I put him down the ""combo""",InfoGive → Diagnostics,13.4 down to 10.6,0.6425
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
InfoGiveSDOH → HealthCareAccessAndQuality || InfoSeek → SchedulingAppt,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,InfoSeek → SchedulingAppt,Do I need to make an appointment,0.7673
InfoGiveSDOH → HealthCareAccessAndQuality || SharedDecisionPatient → ExploreOptions,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,SharedDecisionPatient → ExploreOptions,Or no need for an office visit?,0.6592
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipProvider → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipProvider → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you!,1.0
InfoGive → Instruction || PartnershipProvider → inviteCollaboration,InfoGive → Instruction,Please send to,PartnershipProvider → inviteCollaboration,can you please send a picture through mychart?,0.6833
InfoGive → Instruction || InfoGive → carecoordination,InfoGive → Instruction,Please send to,InfoGive → carecoordination,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",0.6558
InfoGive → Instruction || InfoGive → carecoordination,InfoGive → Instruction,Please send to,InfoGive → carecoordination,please have them send it to us at,0.6362
InfoGive → Instruction || PartnershipPatient → statePreferences,InfoGive → Instruction,Please send to,PartnershipPatient → statePreferences,Please expedite,0.6119
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
InfoGive → Diagnostics || InfoGive → carecoordination,InfoGive → carecoordination,this was faxed,InfoGive → Diagnostics,This was either Dec. or Jan,0.8165
InfoGive → Diagnostics || InfoGive → carecoordination,InfoGive → carecoordination,this was faxed,InfoGive → Diagnostics,this was trending down.,0.7841
InfoGive → Diagnostics || InfoGive → carecoordination,InfoGive → carecoordination,this was faxed,InfoGive → Diagnostics,to see that this was trending down,0.6424
InfoGive → Generalinformation || InfoGive → carecoordination,InfoGive → carecoordination,this was faxed,InfoGive → Generalinformation,This was the only page the doctor needed to fill out,0.6348
PartnershipPatient → signoff || PartnershipProvider → connection,PartnershipProvider → connection,Take care,PartnershipPatient → signoff,Take care,1.0
PartnershipProvider → connection || PartnershipProvider → signoff,PartnershipProvider → connection,Take care,PartnershipProvider → signoff,Take care,1.0
InfoGive → Drugs || PartnershipProvider → connection,PartnershipProvider → connection,Take care,InfoGive → Drugs,take care of these prescriptions,0.9322
InfoGive → Drugs || PartnershipProvider → connection,PartnershipProvider → connection,Take care,InfoGive → Drugs,I take Tums sometimes,0.6785
InfoGive → Diagnostics || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → Diagnostics,I also think she put in an order for an ECHO,0.6146
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,it is a-okay for Person2 to have it done,InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,considering how difficult it is for Person2 to travel,0.6762
InfoGive → Generalinformation || InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,considering how difficult it is for Person2 to travel,InfoGive → Generalinformation,Here it is,0.7135
InfoGive → Diagnostics || InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,considering how difficult it is for Person2 to travel,InfoGive → Diagnostics,it is elevated,0.709
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,considering how difficult it is for Person2 to travel,SharedDecisionPatient → ApprovalofDecision/Reinforcement,it is a-okay for Person2 to have it done,0.6762
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,many thanks,PartnershipPatient → Appreciation/Gratitude,Many thanks!,1.0
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,OK,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,OK,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,OK,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,Ok,0.7107
PartnershipProvider → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipProvider → Alignment,Ok,0.7107
InfoGive → Generalinformation || PartnershipPatient → statePreferences,InfoGive → Generalinformation,please call,PartnershipPatient → statePreferences,Please expedite,0.6969
InfoGive → Generalinformation || InfoSeekSDOH → HealthCareAccessAndQuality,InfoGive → Generalinformation,please call,InfoSeekSDOH → HealthCareAccessAndQuality,"Can u call it into Org, Location please",0.6624
InfoGive → Generalinformation || InfoSeek → Generalinformation,InfoGive → Generalinformation,please call,InfoSeek → Generalinformation,Please advise,0.6617
InfoGive → Generalinformation || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGive → Generalinformation,please call,InfoGiveSDOH → HealthCareAccessAndQuality,Please call it into Org1 in Location,0.6374
InfoGive → Generalinformation || PartnershipPatient → activeParticipation/involvement,InfoGive → Generalinformation,please call,PartnershipPatient → activeParticipation/involvement,Can she call me please,0.6061
InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoGive → Drugs,I see that you have a prescription for Ativan,0.719
InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,had an appt w,InfoGive → Drugs,He just had an Ocrevus infusion,0.6751
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipProvider → maintainCommunication || Socioemotional/Empathy → AcknowledgeError,PartnershipProvider → maintainCommunication,I will let you know once I have more information,Socioemotional/Empathy → AcknowledgeError,I completely forgot to let you know we wouldn't be calling,0.6651
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Kind regards,PartnershipPatient → signoff,Kind regards,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipProvider → connection || Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",PartnershipProvider → connection,Sorry,0.8655
Socioemotional/Empathy → AcknowledgeError || Socioemotional/Empathy → Sadness/fear,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",Socioemotional/Empathy → Sadness/fear,I'm sorry,0.8655
PartnershipPatient → connection || Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",PartnershipPatient → connection,Sorry to bother,0.7459
PartnershipPatient → connection || Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",PartnershipPatient → connection,Sorry to bother you folks,0.7219
PartnershipPatient → connection || Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",PartnershipPatient → connection,Sorry to create extra work,0.6668
PartnershipProvider → connection || Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → AcknowledgeError,"OOPS , sorry - my typo",PartnershipProvider → connection,Sorry for the delay!,0.6118
InfoGive → Drugs || InfoGive → Symptoms,InfoGive → Drugs,has been taking Oxycodone,InfoGive → Symptoms,typically the answer has been no,0.7512
InfoGive → Drugs || InfoGive → Generalinformation,InfoGive → Drugs,has been taking Oxycodone,InfoGive → Generalinformation,It has been 2 years since my neck surgery,0.6795
InfoGive → Drugs || PartnershipProvider → maintainCommunication,InfoGive → Drugs,has been taking Oxycodone,PartnershipProvider → maintainCommunication,Prescription has been sent in,0.6513
InfoGive → Drugs || InfoGive → Symptoms,InfoGive → Drugs,has been taking Oxycodone,InfoGive → Symptoms,there has been a throwup bug going through my family,0.6462
InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,has been taking Oxycodone,InfoGive → carecoordination,Yes a referral has been placed for genetics,0.6354
InfoGive → Drugs || InfoSeek → Diagnostics,InfoGive → Drugs,has been taking Oxycodone,InfoSeek → Diagnostics,How long has it been,0.6142
InfoGive → Drugs || InfoGive → Generalinformation,InfoGive → Drugs,has been taking Oxycodone,InfoGive → Generalinformation,A program of repair has been established for me but it pretty extensive,0.6055
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → Appreciation/Gratitude,Thank you for the info,0.9594
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → Appreciation/Gratitude,Thank you for the quick response,0.8811
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → Appreciation/Gratitude,Thank you for the follow up.,0.721
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → Appreciation/Gratitude,Thank you for doing this,0.6941
PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → signoff,thank you for your time,0.6267
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you for the update,PartnershipPatient → Appreciation/Gratitude,Thank you for your time,0.6267
InfoGive → Drugs || PartnershipPatient → signoff,InfoGive → Drugs,take care of these prescriptions,PartnershipPatient → signoff,Take care,0.9322
InfoGive → Drugs || PartnershipProvider → signoff,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → signoff,Take care,0.9322
InfoGive → Drugs || PartnershipProvider → connection,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → connection,Take care,0.9322
InfoGive → Drugs || PartnershipProvider → signoff,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → signoff,Take care,0.9322
InfoGive → Drugs || PartnershipProvider → connection,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → connection,Take care,0.9322
InfoGive → Drugs || PartnershipProvider → connection,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → connection,Take care,0.9322
InfoGive → Drugs || InfoGive → carecoordination,InfoGive → carecoordination,give Dr. Person1 Dr. Person2 cell  phone,InfoGive → Drugs,Dr. B recommends Metamucil,0.7154
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hello,PartnershipPatient → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hello,PartnershipPatient → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hello,PartnershipPatient → salutation,Hello,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you for your help,0.8538
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you for your help,0.8538
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you and Dr. Person2 for your help,0.832
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,thank you for all your help today,0.8317
PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → signoff,thank you for your time,0.6267
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you for your time,0.6267
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thanks again for your help and support,0.6189
InfoGive → Generalinformation || InfoGive → Symptoms,InfoGive → Symptoms,he's not in shape,InfoGive → Generalinformation,He does not remove ports,0.6751
InfoGive → SchedulingAppt || InfoGive → Symptoms,InfoGive → Symptoms,he's not in shape,InfoGive → SchedulingAppt,He definitely needs/,0.6029
InfoGive → Drugs || InfoGive → carecoordination,InfoGive → carecoordination,I am on the lookout for the permission / patient approval document,InfoGive → Drugs,while I am on the medications,0.8217
InfoGive → carecoordination || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGive → carecoordination,I am on the lookout for the permission / patient approval document,InfoGiveSDOH → HealthCareAccessAndQuality,disapproval for the testing,0.6022
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,I'll let you know as soon as that is completed,PartnershipProvider → maintainCommunication,I will let you know as soon as he answers me,0.8773
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,I'll let you know as soon as that is completed,PartnershipProvider → maintainCommunication,I will let you know.,0.6411
PartnershipPatient → activeParticipation/involvement || Socioemotional/Empathy → ExpressConcern/unease,PartnershipPatient → activeParticipation/involvement,I'll let you know as soon as that is completed,Socioemotional/Empathy → ExpressConcern/unease,Concern is growing as melanomas grow larger.,0.6059
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,I'll let you know as soon as that is completed,PartnershipProvider → maintainCommunication,will let you know who she recommends,0.6046
InfoSeek → Drugs || PartnershipPatient → statePreferences,InfoSeek → Drugs,I would like to add one more Rx request,PartnershipPatient → statePreferences,I would like to request a meeting with Person1's teams on Monday morning,0.7083
InfoSeek → Drugs || PartnershipPatient → statePreferences,InfoSeek → Drugs,I would like to add one more Rx request,PartnershipPatient → statePreferences,Would like to switch back to Eliquis,0.6443
InfoSeek → Drugs || PartnershipPatient → statePreferences,InfoSeek → Drugs,I would like to add one more Rx request,PartnershipPatient → statePreferences,Would like to switch back to Eliquis,0.6443
InfoSeek → Drugs || PartnershipPatient → statePreferences,InfoSeek → Drugs,I would like to add one more Rx request,PartnershipPatient → statePreferences,I would like to have an IV Port installed,0.6258
InfoGive → Generalinformation || PartnershipProvider → maintainCommunication,InfoGive → Generalinformation,"We are both at the limit of getting ""stuck.""",PartnershipProvider → maintainCommunication,We are awaiting the scheduling of those scans.,0.6458
InfoGive → Generalinformation || InfoGive → Symptoms,InfoGive → Generalinformation,"We are both at the limit of getting ""stuck.""",InfoGive → Symptoms,The UTI symptoms are getting worse,0.6295
InfoGive → Generalinformation || PartnershipPatient → activeParticipation/involvement,InfoGive → Generalinformation,"We are both at the limit of getting ""stuck.""",PartnershipPatient → activeParticipation/involvement,presume we are looking at more surgery,0.6271
InfoGive → Generalinformation || Socioemotional/Empathy → Reassurance,InfoGive → Generalinformation,"We are both at the limit of getting ""stuck.""",Socioemotional/Empathy → Reassurance,We are always here!,0.621
InfoGive → Drugs || PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → Appreciation/Gratitude,Most appreciative!,InfoGive → Drugs,Most people tolerate it fine 3 times per week,0.653
InfoGive → Drugs || InfoGive → carecoordination,InfoGive → carecoordination,Dr. Person4 was speaking with Dr. Person5,InfoGive → Drugs,Dr. B recommends Metamucil,0.6777
InfoGive → Generalinformation || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Generalinformation,rec'd a notice MM/DD/YYYY,0.7861
InfoGive → SchedulingAppt || PartnershipPatient → statePreferences,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,PartnershipPatient → statePreferences,MM/DD/YYYY after 230pm,0.7489
InfoGive → SchedulingAppt || InfoGive → Symptoms,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Symptoms,"30 count has gotten him through MM/DD/YYYY, considering ste p down and a few tough pain MM/DD/YYYY thereafter",0.7353
InfoGive → Diagnostics || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Diagnostics,I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,0.7219
InfoGive → SchedulingAppt || InfoSeek → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoSeek → SchedulingAppt,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,0.7127
InfoGive → SchedulingAppt || InfoGiveSDOH → EconomicStability,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGiveSDOH → EconomicStability,I put you off work from MM/DD/YYYY to MM/DD/YYYY,0.6976
InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",0.6951
InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Drugs,"My last pill in the cycle is MM/DD/YYYY, MM/DD/YYYY",0.6938
InfoGive → SchedulingAppt || InfoSeek → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoSeek → SchedulingAppt,Can i change my MM/DD/YYYY appointment to the MM/DD/YYYY,0.6931
InfoGive → Generalinformation || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Generalinformation,We are closed on weekends and only check the MyChart MM/DD/YYYY-MM/DD/YYYY,0.6862
InfoSeek → SchedulingAppt || PartnershipPatient → activeParticipation/involvement,InfoSeek → SchedulingAppt,Would you let me know when you can squeeze Person2 in?,PartnershipPatient → activeParticipation/involvement,Please let me know when submitted,0.7105
InfoSeek → SchedulingAppt || PartnershipPatient → activeParticipation/involvement,InfoSeek → SchedulingAppt,Would you let me know when you can squeeze Person2 in?,PartnershipPatient → activeParticipation/involvement,Please let me know when sent,0.6812
InfoGive → Drugs || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,Person5 sent in pre-auth info to Cigna,InfoGive → Drugs,Prednisone refill sent in,0.7807
InfoGiveSDOH → HealthCareAccessAndQuality || PartnershipProvider → maintainCommunication,InfoGiveSDOH → HealthCareAccessAndQuality,Person5 sent in pre-auth info to Cigna,PartnershipProvider → maintainCommunication,Prescription has been sent in,0.6696
