method,label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
sbert,InfoGive → SchedulingAppt,PartnershipProvider → inviteCollaboration,11,0.656,0.6544,0.6956,0.6066
sbert,InfoGive → SchedulingAppt,SharedDecisionPatient → SeekingApproval,11,0.6552,0.6325,0.7737,0.605
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipPatient → statePreferences,11,0.6541,0.6459,0.7722,0.602
sbert,InfoGive → SchedulingAppt,PartnershipPatient → expressOpinions,11,0.6835,0.6568,0.8105,0.6335
sbert,InfoGive → Instruction,PartnershipProvider → maintainCommunication,10,0.668,0.6508,0.7468,0.6029
sbert,InfoGive → Diagnostics,InfoGive → Drugs,10,0.6782,0.6446,0.7891,0.6027
sbert,InfoGive → Drugs,InfoGive → Generalinformation,10,0.6472,0.6461,0.6775,0.6177
sbert,InfoSeekSDOH → HealthCareAccessAndQuality,PartnershipPatient → activeParticipation/involvement,10,0.6464,0.6258,0.7309,0.6066
sbert,InfoGive → carecoordination,SharedDecisionPatient → SeekingApproval,10,0.6798,0.6829,0.7099,0.6515
sbert,InfoGive → Drugs,SharedDecisionPatient → ExploreOptions,10,0.6161,0.6095,0.6416,0.6019
sbert,PartnershipPatient → connection,PartnershipProvider → signoff,10,0.6498,0.6435,0.6682,0.6342
sbert,Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → ExpressConcern/unease,10,0.6801,0.6676,0.7342,0.62
sbert,InfoGive → Prognosis,PartnershipPatient → activeParticipation/involvement,10,0.6882,0.6477,0.8255,0.6196
sbert,InfoGive → SchedulingAppt,PartnershipPatient → connection,10,0.7246,0.7392,0.8171,0.6507
sbert,InfoSeek → Diagnostics,PartnershipPatient → expressOpinions,9,0.6384,0.6377,0.6629,0.606
sbert,InfoGive → Drugs,PartnershipProvider → checkingUnderstanding/clarification,9,0.6976,0.6626,1.0,0.6149
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → Approval/Reinforcement,9,0.6513,0.6506,0.6871,0.6213
sbert,InfoGive → SchedulingAppt,InfoSeek → Diagnostics,9,0.6523,0.6302,0.7125,0.6038
sbert,InfoGive → Diagnostics,PartnershipProvider → checkingUnderstanding/clarification,9,0.633,0.6303,0.6572,0.6035
sbert,PartnershipPatient → connection,SharedDecisionProvider → Approval/Reinforcement,9,0.6982,0.7251,0.748,0.6132
sbert,InfoGive → carecoordination,Socioemotional/Empathy → Reassurance,9,0.6235,0.6188,0.6444,0.6063
sbert,PartnershipPatient → connection,PartnershipProvider → maintainCommunication,9,0.705,0.6118,0.8952,0.6004
sbert,InfoGive → Symptoms,PartnershipPatient → activeParticipation/involvement,8,0.6357,0.6237,0.6945,0.6008
sbert,InfoGive → carecoordination,InfoSeek → Drugs,8,0.6661,0.6731,0.7176,0.6128
sbert,InfoGive → Generalinformation,PartnershipPatient → connection,8,0.6594,0.6714,0.685,0.6099
sbert,InfoGive → Drugs,SharedDecisionProvider → ShareOptions,8,0.6668,0.6486,0.7427,0.6273
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,8,0.6672,0.6516,0.7463,0.6194
sbert,InfoGive → SchedulingAppt,SharedDecisionProvider → ShareOptions,8,0.6505,0.6535,0.6818,0.6061
sbert,InfoGive → Symptoms,Socioemotional/Empathy → ExpressConcern/unease,8,0.6091,0.6081,0.6156,0.6044
sbert,Socioemotional/Empathy → AcknowledgeError,Socioemotional/Empathy → Sadness/fear,8,0.6846,0.6825,0.7597,0.6138
sbert,InfoGive → carecoordination,PartnershipPatient → expressOpinions,7,0.6581,0.6173,0.7702,0.6048
sbert,InfoGive → Drugs,InfoGive → Instruction,7,0.6419,0.6316,0.7038,0.605
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipProvider → maintainCommunication,7,0.6659,0.6288,0.785,0.6111
sbert,InfoGive → Diagnostics,SharedDecisionProvider → Approval/Reinforcement,7,0.7165,0.6888,1.0,0.6301
sbert,InfoGive → SchedulingAppt,InfoSeekSDOH → HealthCareAccessAndQuality,7,0.7117,0.7419,0.7429,0.6266
sbert,InfoGive → carecoordination,PartnershipPatient → connection,7,0.6242,0.6138,0.6671,0.6003
sbert,InfoGiveSDOH → EconomicStability,InfoGiveSDOH → HealthCareAccessAndQuality,7,0.6963,0.6661,0.8462,0.6087
sbert,InfoGive → Symptoms,PartnershipPatient → expressOpinions,7,0.7007,0.649,1.0,0.6254
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,SharedDecisionPatient → ExploreOptions,6,0.6479,0.6583,0.6822,0.6034
sbert,InfoSeek → Generalinformation,PartnershipPatient → activeParticipation/involvement,6,0.6608,0.639,0.7185,0.6247
sbert,InfoGive → SchedulingAppt,InfoSeek → Drugs,6,0.6688,0.6754,0.7247,0.6065
sbert,PartnershipProvider → connection,Socioemotional/Empathy → Reassurance,6,0.7956,0.8265,0.8498,0.7106
sbert,InfoSeek → SchedulingAppt,InfoSeekSDOH → HealthCareAccessAndQuality,6,0.6487,0.6584,0.6584,0.6292
sbert,InfoGive → carecoordination,SharedDecisionProvider → Approval/Reinforcement,6,0.6685,0.6761,0.7275,0.6042
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → connection,6,0.6297,0.6067,0.6757,0.6067
sbert,InfoGive → Drugs,SharedDecisionProvider → MakeDecision,6,0.6863,0.7118,0.7373,0.61
sbert,InfoSeek → Diagnostics,PartnershipPatient → build trust,6,0.6752,0.6755,0.7138,0.6364
sbert,InfoGiveSDOH → EconomicStability,InfoSeek → Diagnostics,6,0.6237,0.6225,0.6261,0.6225
sbert,PartnershipPatient → connection,PartnershipProvider → Alignment,6,0.8124,0.8417,0.9452,0.6503
sbert,InfoSeek → Diagnostics,PartnershipProvider → maintainCommunication,6,0.6359,0.6188,0.6772,0.6116
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,6,0.6537,0.6143,0.7344,0.6124
sbert,InfoGive → Generalinformation,InfoGive → Symptoms,6,0.6601,0.6694,0.7058,0.605
sbert,InfoGiveSDOH → EconomicStability,PartnershipPatient → activeParticipation/involvement,6,0.6293,0.6375,0.642,0.6085
sbert,InfoGiveSDOH → EconomicStability,InfoSeekSDOH → EconomicStability,6,0.6542,0.6299,0.7179,0.6149
sbert,PartnershipPatient → statePreferences,PartnershipProvider → maintainCommunication,6,0.653,0.6464,0.6742,0.6381
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,6,0.6606,0.68,0.6933,0.6085
sbert,PartnershipPatient → statePreferences,SharedDecisionPatient → SeekingApproval,6,0.6547,0.6408,0.6854,0.6379
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollaboration,6,0.7083,0.7324,0.7374,0.6286
sbert,InfoGive → Generalinformation,InfoGiveSDOH → EconomicStability,6,0.6453,0.6442,0.6644,0.6273
sbert,InfoGive → Generalinformation,PartnershipProvider → inviteCollaboration,6,0.6622,0.6709,0.6961,0.6195
sbert,PartnershipPatient → signoff,PartnershipProvider → salutation,6,1.0,1.0,1.0,1.0
sbert,PartnershipPatient → salutation,PartnershipProvider → Alignment,6,0.9694,0.9694,1.0,0.9387
sbert,InfoGive → SchedulingAppt,PartnershipProvider → Alignment,5,0.6509,0.6604,0.6613,0.6113
sbert,InfoGive → SchedulingAppt,SharedDecisionProvider → MakeDecision,5,0.6401,0.6292,0.6569,0.628
sbert,InfoGive → Generalinformation,PartnershipProvider → Alignment,5,0.7478,0.7284,0.8262,0.6298
sbert,InfoGive → Diagnostics,InfoGive → Generalinformation,5,0.7028,0.6344,1.0,0.6226
sbert,InfoGive → Diagnostics,InfoSeekSDOH → HealthCareAccessAndQuality,5,0.7169,0.7412,0.7412,0.6198
sbert,InfoGive → carecoordination,InfoSeekSDOH → HealthCareAccessAndQuality,5,0.6219,0.6067,0.6448,0.6065
sbert,PartnershipPatient → activeParticipation/involvement,Socioemotional/Empathy → Reassurance,5,0.616,0.6181,0.6198,0.6042
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,InfoSeek → Diagnostics,5,0.6465,0.6204,0.6926,0.6065
sbert,InfoGive → Instruction,InfoSeek → Diagnostics,5,0.6511,0.6579,0.6579,0.6238
sbert,PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → connection,5,0.7819,0.6365,1.0,0.6365
sbert,InfoGive → carecoordination,SharedDecisionPatient → ExploreOptions,5,0.6311,0.6218,0.6499,0.6122
sbert,SharedDecisionPatient → SeekingApproval,SharedDecisionProvider → ShareOptions,5,0.6208,0.6126,0.6341,0.6104
sbert,InfoGive → Symptoms,PartnershipPatient → connection,5,0.66,0.6468,0.683,0.6405
sbert,PartnershipProvider → Alignment,PartnershipProvider → connection,5,0.8412,0.9631,1.0,0.64
sbert,InfoGive → Diagnostics,PartnershipPatient → statePreferences,5,0.6306,0.6316,0.6436,0.61
sbert,InfoGive → Generalinformation,PartnershipPatient → expressOpinions,5,0.6626,0.6351,0.7329,0.6062
sbert,PartnershipPatient → connection,Socioemotional/Empathy → PositiveRemarks,5,0.6155,0.6177,0.621,0.6002
sbert,InfoGive → SchedulingAppt,PartnershipPatient → signoff,5,0.6749,0.6676,0.7188,0.6018
sbert,InfoGive → SchedulingAppt,PartnershipProvider → checkingUnderstanding/clarification,5,0.6337,0.6299,0.6538,0.6013
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipProvider → checkingUnderstanding/clarification,5,0.7129,0.6871,0.793,0.6042
sbert,PartnershipPatient → Alignment,PartnershipPatient → salutation,5,0.9387,0.9387,0.9387,0.9387
sbert,InfoGive → Generalinformation,InfoSeek → Drugs,4,0.6336,0.6312,0.6703,0.6019
sbert,InfoSeek → Drugs,SharedDecisionProvider → ShareOptions,4,0.6564,0.6564,0.6567,0.6562
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,SharedDecisionProvider → Approval/Reinforcement,4,0.6302,0.6302,0.6494,0.6109
sbert,InfoSeek → Diagnostics,InfoSeek → Generalinformation,4,0.6035,0.6035,0.6035,0.6035
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,InfoSeek → SchedulingAppt,4,0.7016,0.7016,0.7341,0.6691
sbert,InfoSeek → Diagnostics,PartnershipProvider → inviteCollaboration,4,0.6862,0.6862,0.6862,0.6862
sbert,PartnershipPatient → statePreferences,PartnershipProvider → checkingUnderstanding/clarification,4,0.6732,0.6732,0.727,0.6194
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → connection,4,0.8557,0.8557,1.0,0.7114
sbert,InfoGive → Diagnostics,InfoSeek → Drugs,4,0.6427,0.6427,0.6763,0.6091
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → activeParticipation/involvement,4,0.6286,0.6286,0.6488,0.6083
sbert,InfoGive → Diagnostics,InfoSeekSDOH → EconomicStability,4,0.6528,0.6528,0.7052,0.6004
sbert,InfoGive → Diagnostics,SharedDecisionProvider → ShareOptions,4,0.6843,0.6843,0.6982,0.6705
sbert,InfoGive → Symptoms,Socioemotional/Empathy → Sadness/fear,4,0.6769,0.6769,0.7483,0.6055
sbert,InfoSeek → SchedulingAppt,PartnershipProvider → maintainCommunication,4,0.618,0.618,0.6345,0.6014
sbert,InfoGive → carecoordination,InfoSeek → Generalinformation,4,0.6884,0.6884,0.732,0.6448
sbert,InfoGive → carecoordination,InfoGiveSDOH → EconomicStability,4,0.6674,0.6674,0.691,0.6439
sbert,InfoGiveSDOH → EconomicStability,PartnershipProvider → inviteCollaboration,4,0.6669,0.6669,0.6837,0.6502
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → Alignment,4,0.7121,0.7407,0.7546,0.6125
sbert,InfoGive → Generalinformation,PartnershipPatient → statePreferences,4,0.6535,0.6573,0.6713,0.6282
sbert,InfoSeek → Drugs,SharedDecisionPatient → ExploreOptions,4,0.639,0.639,0.6741,0.604
sbert,InfoGive → Generalinformation,InfoSeek → carecoordination,4,0.665,0.6693,0.7192,0.6021
sbert,PartnershipPatient → salutation,PartnershipProvider → connection,4,0.7084,0.7084,0.7084,0.7084
sbert,InfoGive → Instruction,InfoGiveSDOH → EconomicStability,4,0.6361,0.6361,0.6366,0.6357
sbert,PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,4,0.696,0.696,0.6965,0.6956
sbert,InfoSeek → Drugs,PartnershipPatient → expressOpinions,4,0.6509,0.6509,0.67,0.6318
sbert,InfoSeek → SchedulingAppt,PartnershipProvider → checkingUnderstanding/clarification,4,0.6801,0.6801,0.7128,0.6474
sbert,InfoGive → Generalinformation,InfoSeekSDOH → HealthCareAccessAndQuality,4,0.6594,0.6594,0.679,0.6399
sbert,PartnershipPatient → expressOpinions,PartnershipProvider → checkingUnderstanding/clarification,4,0.6652,0.6652,0.7229,0.6076
sbert,InfoGive → Diagnostics,SharedDecisionPatient → SeekingApproval,4,0.6447,0.6447,0.6607,0.6288
sbert,PartnershipPatient → expressOpinions,SharedDecisionPatient → SeekingApproval,4,0.705,0.705,0.7384,0.6717
sbert,InfoGive → Generalinformation,PartnershipProvider → checkingUnderstanding/clarification,4,0.6411,0.6411,0.6774,0.6048
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → salutation,4,1.0,1.0,1.0,1.0
sbert,PartnershipPatient → statePreferences,PartnershipProvider → inviteCollaboration,4,0.6751,0.6751,0.6957,0.6545
sbert,InfoGive → SchedulingAppt,SharedDecisionPatient → ExploreOptions,3,0.6342,0.6316,0.6394,0.6316
sbert,InfoGive → Generalinformation,SharedDecisionProvider → Approval/Reinforcement,3,0.6489,0.6544,0.6794,0.6128
sbert,InfoSeek → Diagnostics,PartnershipPatient → Alignment,3,0.6988,0.6988,0.6988,0.6988
sbert,InfoSeek → SchedulingAppt,PartnershipProvider → inviteCollaboration,3,0.6664,0.6595,0.6801,0.6595
sbert,InfoGive → SchedulingAppt,InfoGiveSDOH → EconomicStability,3,0.6232,0.6326,0.6326,0.6044
sbert,SharedDecisionProvider → Approval/Reinforcement,SharedDecisionProvider → ShareOptions,3,0.68,0.7011,0.7011,0.6378
sbert,InfoGive → Symptoms,PartnershipProvider → connection,3,0.7062,0.7495,0.7495,0.6197
sbert,InfoGive → Generalinformation,InfoSeek → SchedulingAppt,3,0.6584,0.612,0.7511,0.612
sbert,InfoSeek → carecoordination,PartnershipPatient → activeParticipation/involvement,3,0.7214,0.7794,0.7794,0.6055
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → MakeDecision,3,0.6648,0.6909,0.6909,0.6126
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,3,0.6663,0.6805,0.6805,0.6379
sbert,InfoSeek → Diagnostics,SharedDecisionPatient → SeekingApproval,3,0.6666,0.6869,0.6869,0.626
sbert,InfoSeek → SchedulingAppt,SharedDecisionProvider → Approval/Reinforcement,3,0.6795,0.6756,0.6872,0.6756
sbert,InfoSeek → Diagnostics,SharedDecisionPatient → ExploreOptions,3,0.6258,0.6354,0.6354,0.6066
sbert,PartnershipPatient → connection,PartnershipProvider → inviteCollaboration,3,0.6658,0.6731,0.6731,0.6513
sbert,PartnershipProvider → inviteCollaboration,SharedDecisionProvider → ShareOptions,2,0.6037,0.6037,0.6037,0.6037
sbert,InfoSeek → Generalinformation,SharedDecisionProvider → EncourageQuestions,2,0.6115,0.6115,0.6115,0.6115
sbert,PartnershipPatient → Alignment,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6012,0.6012,0.6012,0.6012
sbert,InfoGive → Generalinformation,Socioemotional/Empathy → AcknowledgeError,2,0.6067,0.6067,0.6067,0.6067
sbert,InfoSeek → Drugs,PartnershipProvider → maintainCommunication,2,0.7003,0.7003,0.7003,0.7003
sbert,InfoSeek → Diagnostics,InfoSeek → Drugs,2,0.6023,0.6023,0.6023,0.6023
sbert,InfoGive → Drugs,InfoSeek → SchedulingAppt,2,0.6749,0.6749,0.6749,0.6749
sbert,InfoGive → Drugs,InfoGiveSDOH → EconomicStability,2,0.6597,0.6597,0.6597,0.6597
sbert,InfoGive → Generalinformation,PartnershipPatient → Alignment,2,0.6213,0.6213,0.6412,0.6013
sbert,InfoSeek → Generalinformation,PartnershipPatient → build trust,2,0.6423,0.6423,0.6423,0.6423
sbert,PartnershipPatient → connection,Socioemotional/Empathy → Reassurance,2,0.6352,0.6352,0.6352,0.6352
sbert,InfoGive → Instruction,SharedDecisionProvider → MakeDecision,2,0.6863,0.6863,0.6863,0.6863
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → EncourageQuestions,2,0.6393,0.6393,0.6393,0.6393
sbert,InfoGive → Generalinformation,PartnershipProvider → connection,2,0.79,0.79,0.79,0.79
sbert,InfoSeek → Drugs,InfoSeek → Generalinformation,2,0.6833,0.6833,0.6833,0.6833
sbert,Socioemotional/Empathy → ExpressConcern/unease,Socioemotional/Empathy → Reassurance,2,0.7385,0.7385,0.7385,0.7385
sbert,InfoGive → Instruction,Socioemotional/Empathy → Reassurance,2,0.6737,0.6737,0.6737,0.6737
sbert,InfoGive → Diagnostics,SharedDecisionProvider → SummarizeConfirmUnderstanding,2,0.8849,0.8849,0.8849,0.8849
sbert,PartnershipPatient → build trust,PartnershipPatient → expressOpinions,2,0.6741,0.6741,0.6741,0.6741
sbert,InfoGive → Symptoms,InfoGiveSDOH → HealthCareAccessAndQuality,2,0.6813,0.6813,0.6813,0.6813
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipPatient → expressOpinions,2,0.6138,0.6138,0.6138,0.6138
sbert,InfoSeek → Diagnostics,SharedDecisionProvider → Approval/Reinforcement,2,0.6911,0.6911,0.6911,0.6911
sbert,InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipProvider → Alignment,2,0.7662,0.7662,0.7662,0.7662
sbert,SharedDecisionPatient → ApprovalofDecision/Reinforcement,Socioemotional/Empathy → Reassurance,2,0.8651,0.8651,0.8651,0.8651
sbert,PartnershipPatient → Appreciation/Gratitude,Socioemotional/Empathy → PositiveRemarks,2,0.6648,0.6648,0.6648,0.6648
sbert,InfoGive → Drugs,InfoSeek → Diagnostics,2,0.6717,0.6717,0.6717,0.6717
sbert,InfoSeek → SchedulingAppt,PartnershipPatient → expressOpinions,2,0.6084,0.6084,0.6084,0.6084
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,2,0.6457,0.6457,0.6457,0.6457
sbert,InfoGive → Instruction,Socioemotional/Empathy → Sadness/fear,2,0.6454,0.6454,0.6454,0.6454
sbert,InfoGive → Symptoms,Socioemotional/Empathy → PositiveRemarks,2,0.7478,0.7478,0.7478,0.7478
sbert,InfoGive → Symptoms,Socioemotional/Empathy → Reassurance,2,0.6435,0.6435,0.6435,0.6435
