method,pair,src_label,src_text,nbr_label,nbr_text,similarity
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.7954
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,InfoGive → Instruction || PartnershipProvider → maintainCommunication,InfoGive → Instruction,Please send to,PartnershipProvider → maintainCommunication,I will also send it via email,0.6401
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,InfoGive → Generalinformation || InfoGive → carecoordination,InfoGive → carecoordination,this was faxed,InfoGive → Generalinformation,Here is the fax number,0.6251
sbert,PartnershipProvider → connection || PartnershipProvider → signoff,PartnershipProvider → connection,Take care,PartnershipProvider → signoff,Take care,1.0
sbert,PartnershipProvider → connection || PartnershipProvider → signoff,PartnershipProvider → connection,Take care,PartnershipProvider → signoff,Take care,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → connection,PartnershipProvider → connection,Take care,PartnershipPatient → signoff,Take care,1.0
sbert,InfoGive → carecoordination || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → carecoordination,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",0.7938
sbert,InfoGive → Instruction || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → Instruction,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,0.7722
sbert,InfoGiveSDOH → HealthCareAccessAndQuality || PartnershipPatient → activeParticipation/involvement,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,PartnershipPatient → activeParticipation/involvement,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,0.695
sbert,InfoGive → carecoordination || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → carecoordination,They have asked if we can send the PET report and scans to them beforehand,0.6933
sbert,InfoGiveSDOH → HealthCareAccessAndQuality || InfoSeek → Drugs,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoSeek → Drugs,Do you know the reasoning you had this PET scan does and which doctor ordered it?,0.6884
sbert,InfoGive → SchedulingAppt || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,0.6311
sbert,InfoGive → Diagnostics || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,InfoGive → Diagnostics,ordered the cat scan for MM/DD/YYYY,0.6208
sbert,InfoGiveSDOH → HealthCareAccessAndQuality || SharedDecisionPatient → ExploreOptions,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,SharedDecisionPatient → ExploreOptions,Should we bring forward the PET scans planned for MM/DD/YYYY or defer them until after the treatment has ended?,0.6034
sbert,InfoSeek → Generalinformation || PartnershipPatient → activeParticipation/involvement,InfoSeek → Generalinformation,Please advise me how to submit this to,PartnershipPatient → activeParticipation/involvement,Please let me know when submitted,0.6247
sbert,InfoSeek → Generalinformation || SharedDecisionProvider → EncourageQuestions,InfoSeek → Generalinformation,if you can assist me in doing that,SharedDecisionProvider → EncourageQuestions,Let me know if I can help you with anything else,0.6115
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,many thanks,PartnershipPatient → Appreciation/Gratitude,Many thanks!,0.9391
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,many thanks,PartnershipPatient → Appreciation/Gratitude,Thanks,0.6464
sbert,PartnershipPatient → Alignment || SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,This should ok,PartnershipPatient → Alignment,That will work,0.6012
sbert,InfoGive → Generalinformation || InfoGive → Instruction,InfoGive → Generalinformation,please call,InfoGive → Instruction,Give  them a call,0.6479
sbert,InfoGive → Generalinformation || InfoGive → Instruction,InfoGive → Generalinformation,please call,InfoGive → Instruction,Give them a call,0.6479
sbert,InfoGive → Generalinformation || Socioemotional/Empathy → AcknowledgeError,InfoGive → Generalinformation,please call,Socioemotional/Empathy → AcknowledgeError,I completely forgot to let you know we wouldn't be calling,0.6067
sbert,InfoGive → Generalinformation || PartnershipPatient → activeParticipation/involvement,InfoGive → Generalinformation,please call,PartnershipPatient → activeParticipation/involvement,Would one of you be able to give me a call this morning?,0.6031
sbert,InfoGive → Instruction || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoGive → Instruction,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,0.7348
sbert,InfoGive → SchedulingAppt || InfoGive → carecoordination,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoGive → carecoordination,They have asked if we can send the PET report and scans to them beforehand,0.7046
sbert,InfoGive → SchedulingAppt || InfoGive → carecoordination,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoGive → carecoordination,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",0.6895
sbert,InfoGive → SchedulingAppt || InfoSeek → Drugs,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoSeek → Drugs,Do you know the reasoning you had this PET scan does and which doctor ordered it?,0.6754
sbert,InfoGive → SchedulingAppt || SharedDecisionPatient → ExploreOptions,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,SharedDecisionPatient → ExploreOptions,Should we bring forward the PET scans planned for MM/DD/YYYY or defer them until after the treatment has ended?,0.6316
sbert,InfoGive → SchedulingAppt || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGive → SchedulingAppt,let them know that you have a prescription for a PET scan,InfoGiveSDOH → HealthCareAccessAndQuality,sent an order for a new PET scan,0.6311
sbert,InfoGive → Diagnostics || InfoGive → SchedulingAppt,InfoGive → Diagnostics,send CT scan and report,InfoGive → SchedulingAppt,Also please call and get MM/DD/YYYY CT scan scheduled,0.7502
sbert,InfoGive → Diagnostics || InfoGive → SchedulingAppt,InfoGive → Diagnostics,send CT scan and report,InfoGive → SchedulingAppt,I was able to schedule the CT scans,0.7014
sbert,InfoGive → Diagnostics || InfoGive → carecoordination,InfoGive → Diagnostics,send CT scan and report,InfoGive → carecoordination,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",0.6221
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Kind regards,PartnershipPatient → signoff,Best regards,0.7868
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → Appreciation/Gratitude,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,InfoGive → Symptoms || PartnershipPatient → activeParticipation/involvement,InfoGive → Symptoms,has done well managing pain,PartnershipPatient → activeParticipation/involvement,Would this treat the pain temporarily?,0.6198
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,take care of these prescriptions,InfoGive → carecoordination,They are ok to order but need your prescription,0.6845
sbert,InfoGive → Drugs || PartnershipProvider → maintainCommunication,InfoGive → Drugs,take care of these prescriptions,PartnershipProvider → maintainCommunication,Prescription has been sent in,0.6179
sbert,InfoGive → Drugs || PartnershipPatient → expressOpinions,InfoGive → Drugs,take care of these prescriptions,PartnershipPatient → expressOpinions,not sure if this is right section my husband picked up prescriptions,0.6049
sbert,InfoGive → carecoordination || PartnershipPatient → activeParticipation/involvement,InfoGive → carecoordination,give Dr. Person1 Dr. Person2 cell  phone,PartnershipPatient → activeParticipation/involvement,I wanted to reach out to Dr. Person1,0.6623
sbert,InfoGive → carecoordination || PartnershipPatient → activeParticipation/involvement,InfoGive → carecoordination,give Dr. Person1 Dr. Person2 cell  phone,PartnershipPatient → activeParticipation/involvement,Please let Person2 and I know if you are able to have Dr  Person5 do this for us,0.6586
sbert,InfoGive → carecoordination || PartnershipProvider → maintainCommunication,InfoGive → carecoordination,give Dr. Person1 Dr. Person2 cell  phone,PartnershipProvider → maintainCommunication,see when Dr. Person1 has an availability and give you a  call.,0.6496
sbert,InfoGive → Generalinformation || InfoGive → carecoordination,InfoGive → carecoordination,give Dr. Person1 Dr. Person2 cell  phone,InfoGive → Generalinformation,My name is Person I am one of Dr. Person2's fellows,0.6175
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you for your help,0.7634
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thank you for your help,0.7634
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,thank you for all your help today,0.7408
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,thank you and All for your help!,PartnershipPatient → Appreciation/Gratitude,Thanks again for your help and support,0.6237
sbert,InfoGive → Symptoms || PartnershipPatient → activeParticipation/involvement,InfoGive → Symptoms,is having a tough day with pain,PartnershipPatient → activeParticipation/involvement,Is there anything I can get to help with that pain?,0.6008
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoSeek → Drugs,I would like to add one more Rx request,InfoGive → Drugs,I sent the new Rx,0.6136
sbert,InfoGive → carecoordination || PartnershipPatient → expressOpinions,InfoGive → carecoordination,Dr. Person4 was speaking with Dr. Person5,PartnershipPatient → expressOpinions,Why did Dr. Person4  not see this,0.7702
sbert,InfoGive → SchedulingAppt || InfoGive → carecoordination,InfoGive → carecoordination,Dr. Person4 was speaking with Dr. Person5,InfoGive → SchedulingAppt,I see Dr  Person1 on,0.6275
sbert,InfoGive → carecoordination || PartnershipPatient → activeParticipation/involvement,InfoGive → carecoordination,Dr. Person4 was speaking with Dr. Person5,PartnershipPatient → activeParticipation/involvement,Can Dr  Person3 do that?,0.6095
sbert,InfoGive → carecoordination || PartnershipPatient → activeParticipation/involvement,InfoGive → carecoordination,Dr. Person4 was speaking with Dr. Person5,PartnershipPatient → activeParticipation/involvement,Please let Person2 and I know if you are able to have Dr  Person5 do this for us,0.6093
sbert,InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Drugs,I had two this year (both Person2) one in MM/DD/YYYY and the other in MM/DD/YYYY,0.7616
sbert,InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Drugs,I had two this year (both Person2) one in MM/DD/YYYY and the other in MM/DD/YYYY,0.7616
sbert,InfoGive → SchedulingAppt || PartnershipPatient → activeParticipation/involvement,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,PartnershipPatient → activeParticipation/involvement,I will check back with Person1 early MM/DD/YYYY,0.6834
sbert,InfoGive → SchedulingAppt || PartnershipPatient → Alignment,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,PartnershipPatient → Alignment,MM/DD/YYYY is good,0.6807
sbert,InfoGive → SchedulingAppt || SharedDecisionProvider → Approval/Reinforcement,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,SharedDecisionProvider → Approval/Reinforcement,MM/DD/YYYY is good!,0.6742
sbert,InfoGive → SchedulingAppt || PartnershipProvider → Alignment,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,PartnershipProvider → Alignment,Yes MM/DD/YYYY org1,0.6604
sbert,InfoGive → SchedulingAppt || PartnershipProvider → inviteCollaboration,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,PartnershipProvider → inviteCollaboration,"MM/DD/YYYY, is that good ?",0.6544
sbert,InfoGive → Diagnostics || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,Person1 has MM/DD/YYYY,InfoGive → Diagnostics,When Person1 was in on MM/DD/YYYY for his visit,0.6483
sbert,InfoGive → SchedulingAppt || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → SchedulingAppt,I see Dr  Person1 on,0.7247
sbert,InfoSeek → Drugs || PartnershipPatient → activeParticipation/involvement,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,PartnershipPatient → activeParticipation/involvement,Can Dr  Person3 do that?,0.7138
sbert,InfoSeek → Drugs || PartnershipProvider → maintainCommunication,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,PartnershipProvider → maintainCommunication,We will let you know if Dr Person2 is able to complete,0.7003
sbert,InfoSeek → Drugs || SharedDecisionProvider → Approval/Reinforcement,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,SharedDecisionProvider → Approval/Reinforcement,If Dr. Person1 then certainly ok.,0.6893
sbert,InfoGive → carecoordination || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → carecoordination,Dr. Person2 is involved in my treatment,0.689
sbert,InfoGive → carecoordination || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → carecoordination,Mr. Person1 you would need to follow up with Dr. Person2 office,0.6807
sbert,InfoGive → Generalinformation || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → Generalinformation,I be in touch with Dr. Person1 this coming week.,0.6703
sbert,InfoGive → carecoordination || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → carecoordination,I will go over this with Dr  Person1 today,0.6655
sbert,InfoSeek → Drugs || SharedDecisionProvider → ShareOptions,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,SharedDecisionProvider → ShareOptions,If not- Dr. Person1 is happy to give him time to recover and  reschedule from there...,0.6562
sbert,InfoGive → Generalinformation || InfoSeek → Drugs,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,InfoGive → Generalinformation,I see Dr. Person2 in another month,0.6508
sbert,InfoGive → SchedulingAppt || InfoGive → carecoordination,InfoGive → SchedulingAppt,would like to see Person2 in the office MM/DD/YYYY,InfoGive → carecoordination,look forward to meeting with Dr  Person2 on MM/DD/YYYY,0.6302
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoGive → Drugs,Eliquis 5mg; current Rx will run out,InfoSeek → Drugs,how is he taking the Eliquis:  5mg a day or twice a day,0.6623
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoSeek → Drugs,how many a day is he taking,InfoGive → Drugs,I take two per  Day (400 mg),0.6389
sbert,InfoSeek → Diagnostics || InfoSeek → Drugs,InfoSeek → Drugs,how many a day is he taking,InfoSeek → Diagnostics,are you taking him for repeat labs and urine today or tomorrow?,0.6023
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoSeek → Drugs,how is he taking the Eliquis:  5mg a day or twice a day,InfoGive → Drugs,I take two per  Day (400 mg),0.668
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoSeek → Drugs,how is he taking the Eliquis:  5mg a day or twice a day,InfoGive → Drugs,Eliquis 5mg; current Rx will run out,0.6623
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoSeek → Drugs,how is he taking the Eliquis:  5mg a day or twice a day,InfoGive → Drugs,Re Eliquis: MM/DD/YYYY two 5mg tabs morning and night,0.6057
sbert,InfoGive → SchedulingAppt || SharedDecisionProvider → Approval/Reinforcement,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",SharedDecisionProvider → Approval/Reinforcement,MM/DD/YYYY is good!,0.701
sbert,InfoGive → SchedulingAppt || PartnershipProvider → inviteCollaboration,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",PartnershipProvider → inviteCollaboration,"MM/DD/YYYY, is that good ?",0.6956
sbert,InfoGive → SchedulingAppt || PartnershipPatient → Alignment,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",PartnershipPatient → Alignment,MM/DD/YYYY is good,0.6933
sbert,InfoGive → SchedulingAppt || PartnershipProvider → Alignment,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",PartnershipProvider → Alignment,Yes MM/DD/YYYY org1,0.6613
sbert,InfoGive → SchedulingAppt || SharedDecisionPatient → SeekingApproval,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",SharedDecisionPatient → SeekingApproval,OK if that is some time in MM/DD/YYYY?,0.66
sbert,InfoGive → SchedulingAppt || SharedDecisionProvider → MakeDecision,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",SharedDecisionProvider → MakeDecision,"Sure, you can wait until MM/DD/YYYY",0.6569
sbert,InfoGive → SchedulingAppt || PartnershipPatient → activeParticipation/involvement,InfoGive → SchedulingAppt,"Yep, just got a call for MM/DD/YYYY w",PartnershipPatient → activeParticipation/involvement,Any chance of getting a reply to my message from MM/DD/YYYY?,0.6286
sbert,InfoGive → carecoordination || InfoSeek → Drugs,InfoGive → carecoordination,per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,InfoSeek → Drugs,Does Dr. Person3 want Person1 to continue on,0.6329
sbert,InfoGive → SchedulingAppt || InfoGive → carecoordination,InfoGive → SchedulingAppt,I've set up Person3's other,InfoGive → carecoordination,"I will have Person3, APRN sign the orders",0.6113
sbert,InfoGive → Generalinformation || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,I've set up Person3's other,InfoGive → Generalinformation,"Unfortunately, since Person3 doesn't use the same system we do, images cannot be shared",0.6071
sbert,InfoGive → Drugs || PartnershipPatient → Alignment,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",PartnershipPatient → Alignment,MM/DD/YYYY is good,0.6856
sbert,InfoGive → Drugs || SharedDecisionProvider → Approval/Reinforcement,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",SharedDecisionProvider → Approval/Reinforcement,MM/DD/YYYY is good!,0.6832
sbert,InfoGive → Drugs || InfoSeek → SchedulingAppt,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",InfoSeek → SchedulingAppt,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,0.6749
sbert,InfoGive → Drugs || InfoGiveSDOH → EconomicStability,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",InfoGiveSDOH → EconomicStability,I put you off work from MM/DD/YYYY to MM/DD/YYYY,0.6597
sbert,InfoGive → Drugs || PartnershipProvider → inviteCollaboration,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",PartnershipProvider → inviteCollaboration,"MM/DD/YYYY, is that good ?",0.6448
sbert,InfoGive → Diagnostics || InfoGive → Drugs,InfoGive → Drugs,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",InfoGive → Diagnostics,"they mean to write ""compared  to MM/DD/YYYY""",0.6027
sbert,InfoGive → Drugs || InfoSeek → Drugs,InfoGive → Drugs,Re Eliquis: MM/DD/YYYY two 5mg tabs morning and night,InfoSeek → Drugs,how is he taking the Eliquis:  5mg a day or twice a day,0.6057
sbert,InfoGive → Drugs || PartnershipPatient → activeParticipation/involvement,InfoGive → Drugs,MM/DD/YYYY one 5mg am and one 5mg pm,PartnershipPatient → activeParticipation/involvement,Just want to make sure I take what I should correctly for MM/DD/YYYY,0.6147
sbert,InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,Person3 is tolerating all meds well and following directions,InfoGive → carecoordination,Dr. Person2 is involved in my treatment,0.6209
sbert,InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,Person3 is tolerating all meds well and following directions,InfoGive → carecoordination,It looks like Dr. Person2 was ok with you waiting til  MM/DD/YYYY to start the new medication,0.6122
sbert,InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,Person3 is tolerating all meds well and following directions,InfoGive → carecoordination,Dr. Person1 has the final word regarding my treatments and regimens,0.6101
sbert,InfoGive → Drugs || InfoGive → carecoordination,InfoGive → Drugs,Person3 is tolerating all meds well and following directions,InfoGive → carecoordination,I will go over this with Dr  Person1 today,0.6074
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,best,PartnershipProvider → signoff,Best,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,best,PartnershipProvider → signoff,Best,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,best,PartnershipProvider → signoff,Best,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,best,PartnershipProvider → signoff,Best,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,thank you,1.0
