anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
Dr. Person4 was speaking with Dr. Person5,Information-Giving,Why did Dr. Person4  not see this,PATIENT_PARTNERSHIP,0.7702109813690186,sbert,code,Information-Giving :: PATIENT_PARTNERSHIP,9a87780c89fe33e83c23a8b39b8371bfcc6c2b33
Usually it takes the pharmacy MM/DD/YYYY to call me regarding delivery of my meds,Information-Giving,I setup for them to ship the medication to me,PATIENT_PARTNERSHIP,0.7303688526153564,sbert,code,Information-Giving :: PATIENT_PARTNERSHIP,f9b4caf5b8d8241a582d32b7e77584d0b2a63c8d
The pharmacy won't have time to get my meds delivered to me if we keep this schedule,Information-Giving,I setup for them to ship the medication to me,PATIENT_PARTNERSHIP,0.7031570672988892,sbert,code,Information-Giving :: PATIENT_PARTNERSHIP,a9521301ac8f8104b0689b1e77c74a12eddfd864
"Yep, just got a call for MM/DD/YYYY w",Information-Giving,MM/DD/YYYY is good,PATIENT_PARTNERSHIP,0.6933150887489319,sbert,code,Information-Giving :: PATIENT_PARTNERSHIP,1636597381688657076705e0702602d774308daf
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,MM/DD/YYYY is good,PATIENT_PARTNERSHIP,0.685556173324585,sbert,code,Information-Giving :: PATIENT_PARTNERSHIP,8f6e2a478ebd330accc287c0873543e84f20944b
take care of these prescriptions,Information-Giving,Take care,PATIENT_PARTNERSHIP,0.6254304276223819,tfidf,code,Information-Giving :: PATIENT_PARTNERSHIP,5bdafc2fcb0bd676729b017197114c5906e3eceb
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.6079430855950206,tfidf,code,Information-Giving :: PATIENT_PARTNERSHIP,0eafcb9447dad098072f09a3110efb25e12d4b62
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving,Happy MM/DD/YYYY!,PATIENT_PARTNERSHIP,0.5973480341907899,tfidf,code,Information-Giving :: PATIENT_PARTNERSHIP,fd21e1fe612db35e57aa61b9ddd9b75fa91e6395
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,MM/DD/YYYY after 230pm,PATIENT_PARTNERSHIP,0.5870041812594937,tfidf,code,Information-Giving :: PATIENT_PARTNERSHIP,1bbd19781568ec3642fe1b276904df5824e0aa0e
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,Happy MM/DD/YYYY!,PATIENT_PARTNERSHIP,0.5767740468566072,tfidf,code,Information-Giving :: PATIENT_PARTNERSHIP,3cfe80c5beb8437d8ad197f5ac1a2a5a332aa165
That is MM/DD/YYYY I'm supposed to start my next round of Ibrance??,Information-Giving,Should I start Ibrance tonight?,PATIENT_SHARED-DECISION_MAKING,0.6436272859573364,sbert,code,Information-Giving :: PATIENT_SHARED-DECISION_MAKING,ec5355c3ee955830883502d48c9663a8ce33fd2e
let them know that you have a prescription for a PET scan,Information-Giving,Should we bring forward the PET scans planned for MM/DD/YYYY or defer them until after the treatment has ended?,PATIENT_SHARED-DECISION_MAKING,0.6316252946853638,sbert,code,Information-Giving :: PATIENT_SHARED-DECISION_MAKING,85825234037578dee8e15d27bb0a7b7b689cab38
I believe it should be 9am,Information-Giving,Should I be?,PATIENT_SHARED-DECISION_MAKING,0.6165250772401576,tfidf,code,Information-Giving :: PATIENT_SHARED-DECISION_MAKING,595564f991958e77fd8a01442b69d145e0e74a2e
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.90105225724013,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.90105225724013,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.90105225724013,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.90105225724013,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
I am all set,Information-Giving,You  should be all set.,PROVIDER_PARTNERSHIP,0.6753842093797657,lsa,code,Information-Giving :: PROVIDER_PARTNERSHIP,45a6cc4f975d58ccf8787400a06be19d34d50a71
I am all set,Information-Giving,You should be all set,PROVIDER_PARTNERSHIP,0.8261950016021729,sbert,code,Information-Giving :: PROVIDER_PARTNERSHIP,c21c3c382b54dd1c47200452f9a6c8043bcb0f74
I am all set,Information-Giving,You  should be all set.,PROVIDER_PARTNERSHIP,0.7899960279464722,sbert,code,Information-Giving :: PROVIDER_PARTNERSHIP,45a6cc4f975d58ccf8787400a06be19d34d50a71
Usually it takes the pharmacy MM/DD/YYYY to call me regarding delivery of my meds,Information-Giving,The pharmacy will contact you when  its ready to pick up,PROVIDER_PARTNERSHIP,0.7091582417488098,sbert,code,Information-Giving :: PROVIDER_PARTNERSHIP,f81dddad1286960fdc927c12352641b0d64d4b15
"Yep, just got a call for MM/DD/YYYY w",Information-Giving,"MM/DD/YYYY, is that good ?",PROVIDER_PARTNERSHIP,0.6956179738044739,sbert,code,Information-Giving :: PROVIDER_PARTNERSHIP,2a5fb3cc9e01b17422a95f3cfee432bcd0f16662
"Yep, just got a call for MM/DD/YYYY w",Information-Giving,Yes MM/DD/YYYY org1,PROVIDER_PARTNERSHIP,0.6612761616706848,sbert,code,Information-Giving :: PROVIDER_PARTNERSHIP,06b697f6d62fa0c0325d4c4ce4c3167ccfeb8343
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.6254304276223819,tfidf,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.6254304276223819,tfidf,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.6254304276223819,tfidf,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
take care of these prescriptions,Information-Giving,Take care,PROVIDER_PARTNERSHIP,0.6254304276223819,tfidf,code,Information-Giving :: PROVIDER_PARTNERSHIP,32cbd329ad9dadac106b162e4e1d17e26ae1c88b
My youngest son has MS,Information-Giving,My pleasure!,PROVIDER_PARTNERSHIP,0.5728796168344003,tfidf,code,Information-Giving :: PROVIDER_PARTNERSHIP,bc525ee0c196022260147226654edc1dc40add78
we can give you a flu vaccine next time you come,Information-Giving,we can definitely give you some time to heal first,PROVIDER_Shared-Decision_Making,0.7338952455571779,lsa,code,Information-Giving :: PROVIDER_Shared-Decision_Making,c483d240242069a14523946692250d0082f6dd41
I see Dr  Person1 on,Information-Giving,If Dr. Person1 then certainly ok.,PROVIDER_Shared-Decision_Making,0.7270954251289368,sbert,code,Information-Giving :: PROVIDER_Shared-Decision_Making,e016e65b7e7fda07482c59cf63d87a2da05e10e7
"Yep, just got a call for MM/DD/YYYY w",Information-Giving,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making,0.7009842395782471,sbert,code,Information-Giving :: PROVIDER_Shared-Decision_Making,c1a2c595e87caec5c709167b9a9be3e236608168
"Yes, you can get your labs done",Information-Giving,Yes you would need labs before you start your next cycle,PROVIDER_Shared-Decision_Making,0.6862847805023193,sbert,code,Information-Giving :: PROVIDER_Shared-Decision_Making,fedf23b1f14401f10a9a89f0ace58fc20b6b6048
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making,0.6832324266433716,sbert,code,Information-Giving :: PROVIDER_Shared-Decision_Making,e7dde4f8f25df840feb7e272b8c270d0af15fdab
Person1 has MM/DD/YYYY,Information-Giving,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making,0.6742023229598999,sbert,code,Information-Giving :: PROVIDER_Shared-Decision_Making,af0c827b447c353909f1761ab764e0f9ed0a9a95
agree that the CA27.29 has been a very good marker for you,Information-Giving,agree that the CA27.29 has been a very good marker for you,PROVIDER_Shared-Decision_Making,1.0000000000000004,tfidf,code,Information-Giving :: PROVIDER_Shared-Decision_Making,928dc700a4bf7be250fa6fe1eb229a1d0f11b17c
which can be pretty nasty,Information-Giving,it appears the numbers pretty high which is concerning,Socioemotional_/_Empathy,0.5846917307974889,lsa,code,Information-Giving :: Socioemotional_/_Empathy,0ea4f25338570c7459b45733370f26cc04bf09de
please call,Information-Giving,I completely forgot to let you know we wouldn't be calling,Socioemotional_/_Empathy,0.6067199110984802,sbert,code,Information-Giving :: Socioemotional_/_Empathy,94f7bf63ddc22e276219da4a5db2abaed52c5511
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH,Prednisone refill sent in,Information-Giving,0.7271320925507138,lsa,code,Information-Giving_SDOH :: Information-Giving,9b74595255bfaf71d7bdc8d964d5e16c1af640d7
", I am checking with Dr. Person2 on the vaccine",Information-Giving_SDOH,The schedulers were checking with Dr Person2 on MM/DD/YYYY,Information-Giving,0.6983592163245093,lsa,code,Information-Giving_SDOH :: Information-Giving,d76c248be7c6599463d8711e8c759c64cac4aeae
I am due to have a cat scan and a bone scan at,Information-Giving_SDOH,Iwas scheduled for a cat scan and bone scan through the VA A few weeks ago,Information-Giving,0.6747100894384407,lsa,code,Information-Giving_SDOH :: Information-Giving,f825d963f42eeec29982679705f5251837df6f37
", I am checking with Dr. Person2 on the vaccine",Information-Giving_SDOH,I am already scheduled to meet with Dr  Person2 on the MM/DD/YYYY @10:30,Information-Giving,0.6516445042567063,lsa,code,Information-Giving_SDOH :: Information-Giving,6edc0ea30ef81ee1ece672adb07c2de26cf4352e
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH,refill has been sent in,Information-Giving,0.644827307722794,lsa,code,Information-Giving_SDOH :: Information-Giving,6e8c26ccba17be2d31e740555361f5cbf9acd6c2
sent an order for a new PET scan,Information-Giving_SDOH,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving,0.793782114982605,sbert,code,Information-Giving_SDOH :: Information-Giving,54ebfa87e7c9eb68fa75c1a031ea7accdf2781d5
sent an order for a new PET scan,Information-Giving_SDOH,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,Information-Giving,0.7721730470657349,sbert,code,Information-Giving_SDOH :: Information-Giving,2e7b87e04798bc51424fb764b79d737d770e2ecc
sent an order for a new PET scan,Information-Giving_SDOH,They have asked if we can send the PET report and scans to them beforehand,Information-Giving,0.6933441162109375,sbert,code,Information-Giving_SDOH :: Information-Giving,f67fd8276b3b32edcbf9cbc348f29d64d8e65518
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH,you have can labs drawn before seeing,Information-Giving,0.6250007748603821,sbert,code,Information-Giving_SDOH :: Information-Giving,e817e866daefaacd524d40a031d044a5d04127b6
We need to make an office visit,Information-Giving_SDOH,if not reach out to our office!,Information-Giving,0.6119804382324219,sbert,code,Information-Giving_SDOH :: Information-Giving,1cc4703f862dc64bae530344ce66bd9c602d0e75
", I am checking with Dr. Person2 on the vaccine",Information-Giving_SDOH,The schedulers were checking with Dr Person2 on MM/DD/YYYY,Information-Giving,0.6173776573234404,tfidf,code,Information-Giving_SDOH :: Information-Giving,d76c248be7c6599463d8711e8c759c64cac4aeae
Sleeping well,Information-Giving_SDOH,"I hope so because I feel great; sleeping well, eating (too) well",Information-Giving,0.5987080708637997,tfidf,code,Information-Giving_SDOH :: Information-Giving,55d26c693ddc82536ecd7a4a4da1285863524dfb
We need to make an office visit,Information-Giving_SDOH,Do I need to make an appointment,Information-Seeking,0.7533059043795038,lsa,code,Information-Giving_SDOH :: Information-Seeking,8c835a4bd1fb537cd84b1f1b87ac2bf35c40fc44
sent an order for a new PET scan,Information-Giving_SDOH,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Information-Seeking,0.6884222626686096,sbert,code,Information-Giving_SDOH :: Information-Seeking,44cabc1346c7373b5c5be1f6ae22c6b8328c2e27
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH,"My  blood draw and appointment with Dr. Person1 will be in the Org2 office on MM/DD/YYYY, starting at 9:30 AM, correct?",Information-Seeking,0.5986259579658508,sbert,code,Information-Giving_SDOH :: Information-Seeking,1a429bc5a188ef62f0c0e5ccd679e06444a09bde
have it a LOCATION,Information-Giving_SDOH,If it is ok can I have those shots at LOCATION,Information-Seeking_SDOH,0.5863918648396703,lsa,code,Information-Giving_SDOH :: Information-Seeking_SDOH,d5f5ff887bda483b1793d5a185f0f99b7eb57f5b
We need to make an office visit,Information-Giving_SDOH,how can i get this form to your office?,Information-Seeking_SDOH,0.5642628073692322,sbert,code,Information-Giving_SDOH :: Information-Seeking_SDOH,462613fe7ace16c640359fe216ac51508f9a4aca
sent an order for a new PET scan,Information-Giving_SDOH,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,PATIENT_PARTNERSHIP,0.694997251033783,sbert,code,Information-Giving_SDOH :: PATIENT_PARTNERSHIP,f463a34a295d6a2f66e61241b99ce495f2f41b3d
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP,0.5658657550811768,sbert,code,Information-Giving_SDOH :: PATIENT_PARTNERSHIP,77941a17e571ca3ef216b142501fbd0a8880f56e
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP,0.5658656358718872,sbert,code,Information-Giving_SDOH :: PATIENT_PARTNERSHIP,77941a17e571ca3ef216b142501fbd0a8880f56e
considering how difficult it is for Person2 to travel,Information-Giving_SDOH,it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING,0.6712125213407162,lsa,code,Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,18a7043928a1967b565a94c13e01999783636726
We need to make an office visit,Information-Giving_SDOH,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING,0.6334205849627007,lsa,code,Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,d717fadb7dbb32c2cb52919fc12402de08af1f55
We need to make an office visit,Information-Giving_SDOH,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING,0.6821954846382141,sbert,code,Information-Giving_SDOH :: PATIENT_SHARED-DECISION_MAKING,d717fadb7dbb32c2cb52919fc12402de08af1f55
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH,Prescription has been sent in,PROVIDER_PARTNERSHIP,0.6405892887527307,lsa,code,Information-Giving_SDOH :: PROVIDER_PARTNERSHIP,e66983e0c97a318c49b9160a542829dae910a11d
If so I can ask my Primary if I can get it when I see her,Information-Seeking,I can see if we can get you rescheduled,Information-Giving,0.5837691703281805,lsa,code,Information-Seeking :: Information-Giving,198b31a4e3738d4e000d0b66e3a97f4adf536519
as well as a flu shot) while taking Ibrance and my other meds,Information-Seeking,being on I Person3 and my other meds,Information-Giving,0.5674773748417669,lsa,code,Information-Seeking :: Information-Giving,64ff578f39abb9dfdbcc0aee5d3339bb221f9f3e
but I am still not understanding the timing of my blood work,Information-Seeking,I recently had a bunch of blood work entered,Information-Giving,0.5642640978980511,lsa,code,Information-Seeking :: Information-Giving,79e1a1be6a7c6108f48f71f519d6b5a0f1f6232b
I would like to add one more Rx request,Information-Seeking,One more bit of info,Information-Giving,0.5527902936430005,lsa,code,Information-Seeking :: Information-Giving,101c5098208505e575770e83d9533127e02ba94d
Does Dr. Person3 want Person1 to continue on,Information-Seeking,I see Dr  Person1 on,Information-Giving,0.7246928811073303,sbert,code,Information-Seeking :: Information-Giving,5f7ec43cc545103141e28e1625a783098073ee65
Does Dr. Person3 want Person1 to continue on,Information-Seeking,Dr. Person2 is involved in my treatment,Information-Giving,0.689014196395874,sbert,code,Information-Seeking :: Information-Giving,cb79712c4e201ae20215a045997872d13613348b
how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking,I take two per  Day (400 mg),Information-Giving,0.6680413484573364,sbert,code,Information-Seeking :: Information-Giving,79b1b0fd76910fb67d7ae948db181caa64da47ea
how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking,Eliquis 5mg; current Rx will run out,Information-Giving,0.6622751355171204,sbert,code,Information-Seeking :: Information-Giving,32abccd3b64d993732e0e9986cfc0a02189ca744
how many a day is he taking,Information-Seeking,I take two per  Day (400 mg),Information-Giving,0.6388786435127258,sbert,code,Information-Seeking :: Information-Giving,47f3f5988e4c2ece04eb00b45df7b75f29824115
There is an order would you like our Clinical Secretary to schedule?,Information-Seeking,I will ask our Clinical Secretary to schedule this,Information-Giving,0.5825965823792847,tfidf,code,Information-Seeking :: Information-Giving,3db4d3c7e75a24d4715a7a5c8cdecb3cf1ffd7c0
if it would be safe for me to get a whooping cough shot,Information-Seeking,we do not give the whooping cough (tdap) vaccine here,Information-Giving_SDOH,0.6694748997688293,sbert,code,Information-Seeking :: Information-Giving_SDOH,911d1d7f56e1118a7235161c62195f37122f911a
Please advise,Information-Seeking,Please expedite,PATIENT_PARTNERSHIP,0.8195000503865708,lsa,code,Information-Seeking :: PATIENT_PARTNERSHIP,165fe6b13b3179cfb13e6c394a974f23f75160ab
Would you let me know when you can squeeze Person2 in?,Information-Seeking,Please let me know when submitted,PATIENT_PARTNERSHIP,0.6897436255930888,lsa,code,Information-Seeking :: PATIENT_PARTNERSHIP,a40ebc7026ad04ff8be052f6652b2c16dd641d40
Would you let me know when you can squeeze Person2 in?,Information-Seeking,Please let me know when sent,PATIENT_PARTNERSHIP,0.6582667882543939,lsa,code,Information-Seeking :: PATIENT_PARTNERSHIP,63fa348dded8f6b43627072c488eaf942ddb2d8f
if it would be safe for me to get a whooping cough shot,Information-Seeking,Be safe,PATIENT_PARTNERSHIP,0.6550720304722085,lsa,code,Information-Seeking :: PATIENT_PARTNERSHIP,fae4903dab52251da5dae999143997b134f80216
I would like to add one more Rx request,Information-Seeking,I would like to request a meeting with Person1's teams on Monday morning,PATIENT_PARTNERSHIP,0.6302720717524452,lsa,code,Information-Seeking :: PATIENT_PARTNERSHIP,34bb78e387fbb3e6af9d89b7fff4b994d0f41713
Please advise,Information-Seeking,Your advice please,PATIENT_PARTNERSHIP,0.7185097336769104,sbert,code,Information-Seeking :: PATIENT_PARTNERSHIP,48d3916aaff4a5093bd946b0d881a8b3bd7e2418
Does Dr. Person3 want Person1 to continue on,Information-Seeking,Can Dr  Person3 do that?,PATIENT_PARTNERSHIP,0.7138359546661377,sbert,code,Information-Seeking :: PATIENT_PARTNERSHIP,9218b5521c2d7e51e0f9989ed65fbb831fc94b14
but I am still not understanding the timing of my blood work,Information-Seeking,Please let me know when I should start my blood work,PATIENT_PARTNERSHIP,0.6563975214958191,sbert,code,Information-Seeking :: PATIENT_PARTNERSHIP,1e62be55e9388c5c8a2b79f0e74be5a17c6b0603
Please advise,Information-Seeking,Appreciate your advice,PATIENT_PARTNERSHIP,0.6422739624977112,sbert,code,Information-Seeking :: PATIENT_PARTNERSHIP,6a6174e04923bc036480521ab7a8d3abbce9272f
