pair_key,lsa,sbert,tdidf,total_all_methods
Scheduling_appt :: Health_care_access_and_quality,2,1,0,3
Scheduling_appt :: Maintain_communication,0,1,0,1
Scheduling_appt :: Seeking_Approval,0,0,1,1
Scheduling_appt :: Share_options,1,0,0,1
Scheduling_appt :: Symptoms,3,0,0,3
Scheduling_appt :: active_participation_/involvement,3,3,0,6
Scheduling_appt :: instruction,0,2,0,2
Scheduling_appt :: invite_collaboration,0,1,0,1
Scheduling_appt :: state_preferences,2,1,0,3
Symptoms :: Alignment,0,0,5,5
Symptoms :: Care_Coordination,0,1,0,1
Symptoms :: Connection,0,0,1,1
Symptoms :: Diagnostics,2,0,1,3
Symptoms :: Drugs,3,0,0,3
Symptoms :: Express_concern/unease,1,0,1,2
Symptoms :: General_information,2,0,0,2
Symptoms :: Health_care_access_and_quality,0,0,2,2
Symptoms :: Making_decision_together,0,0,1,1
Symptoms :: Scheduling_appt,2,0,0,2
Symptoms :: active_participation_/involvement,0,2,0,2
Symptoms :: express_opinions,1,0,1,2
Symptoms :: state_preferences,2,0,0,2
active_participation_/involvement :: Alignment,0,0,1,1
active_participation_/involvement :: Care_Coordination,2,0,0,2
active_participation_/involvement :: Connection,0,0,1,1
active_participation_/involvement :: Diagnostics,3,0,0,3
active_participation_/involvement :: Explore_options,0,1,0,1
active_participation_/involvement :: General_information,1,0,0,1
active_participation_/involvement :: Health_care_access_and_quality,0,4,0,4
active_participation_/involvement :: Maintain_communication,2,3,2,7
express_opinions :: state_preferences,1,0,0,1
instruction :: Care_Coordination,2,1,0,3
instruction :: Diagnostics,0,1,0,1
instruction :: General_information,0,1,0,1
instruction :: Maintain_communication,0,1,0,1
instruction :: Making_decision_together,0,1,0,1
instruction :: Scheduling_appt,0,2,0,2
instruction :: active_participation_/involvement,1,0,0,1
instruction :: invite_collaboration,1,0,0,1
invite_collaboration :: Alignment,1,0,0,1
invite_collaboration :: Connection,1,0,0,1
invite_collaboration :: Scheduling_appt,1,0,0,1
invite_collaboration :: Share_options,1,1,0,2
salutation :: Connection,0,0,3,3
signoff :: Appreciation/gratitude,8,4,29,41
signoff :: Connection,0,0,10,10
