label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
Making_decision_together,Reassurance,2,0.5633,13,14,0.1538,0.1429
instruction,state_preferences,2,0.5707,44,45,0.0455,0.0444
Care_Coordination,Making_decision_together,2,0.6105,176,13,0.0114,0.1538
Positive_Remarks/Reward,Reassurance,2,0.7271,6,14,0.3333,0.1429
Economic_stability,Express_concern/unease,2,0.6289,25,25,0.08,0.08
Seeking_Approval,express_opinions,2,0.6651,29,52,0.069,0.0385
checking_understanding/clarification,express_opinions,2,0.5541,20,52,0.1,0.0385
Seeking_Approval,checking_understanding/clarification,2,0.7086,29,20,0.069,0.1
Health_care_access_and_quality,instruction,2,0.7935,100,44,0.02,0.0455
Acknowledge_Error,Drugs,2,0.6407,16,174,0.125,0.0115
Seeking_Approval,salutation,2,0.743,29,333,0.069,0.006
Maintain_communication,invite_collaboration,2,0.7608,74,11,0.027,0.1818
General_information,Positive_Remarks/Reward,2,0.7973,162,6,0.0123,0.3333
Drugs,Positive_Remarks/Reward,2,0.735,174,6,0.0115,0.3333
Positive_Remarks/Reward,state_preferences,2,0.6703,6,45,0.3333,0.0444
Alignment,Scheduling_appt,2,0.6014,88,153,0.0227,0.0131
Share_options,signoff,2,0.6032,17,249,0.1176,0.008
Acknowledge_Error,express_opinions,2,0.5834,16,52,0.125,0.0385
Connection,Health_care_access_and_quality,1,0.6302,105,100,0.0095,0.01
Approval/Reinforcement,Care_Coordination,1,0.5818,25,176,0.04,0.0057
Reassurance,state_preferences,1,0.5551,14,45,0.0714,0.0222
Approval/Reinforcement,state_preferences,1,0.6114,25,45,0.04,0.0222
active_participation_/involvement,salutation,1,0.6223,146,333,0.0068,0.003
Acknowledge_Error,state_preferences,1,0.61,16,45,0.0625,0.0222
Alignment,state_preferences,1,0.677,88,45,0.0114,0.0222
Reassurance,express_opinions,1,0.5567,14,52,0.0714,0.0192
Drugs,salutation,1,0.6174,174,333,0.0057,0.003
Economic_stability,express_opinions,1,0.5663,25,52,0.04,0.0192
