label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
Scheduling_appt,Seeking_Approval,14,0.6535,153,29,0.0915,0.4828
Alignment,Scheduling_appt,13,0.6517,88,153,0.1477,0.085
Appreciation/gratitude,Connection,13,0.6442,121,105,0.1074,0.1238
Health_care_access_and_quality,state_preferences,13,0.6382,100,45,0.13,0.2889
Explore_options,active_participation_/involvement,12,0.6078,18,146,0.6667,0.0822
Connection,Reassurance,12,0.6987,105,14,0.1143,0.8571
Approval/Reinforcement,Diagnostics,12,0.7092,25,205,0.48,0.0585
salutation,signoff,12,0.7389,333,249,0.036,0.0482
active_participation_/involvement,checking_understanding/clarification,12,0.6345,146,20,0.0822,0.6
Drugs,instruction,11,0.6415,174,44,0.0632,0.25
Diagnostics,checking_understanding/clarification,11,0.6164,205,20,0.0537,0.55
Care_Coordination,Explore_options,11,0.6002,176,18,0.0625,0.6111
Drugs,Share_options,11,0.6548,174,17,0.0632,0.6471
Economic_stability,Health_care_access_and_quality,11,0.6509,25,100,0.44,0.11
Drugs,checking_understanding/clarification,11,0.7049,174,20,0.0632,0.55
Economic_stability,General_information,11,0.6319,25,162,0.44,0.0679
Drugs,Making_decision_together,10,0.6388,174,13,0.0575,0.7692
Alignment,Care_Coordination,10,0.7439,88,176,0.1136,0.0568
Maintain_communication,express_opinions,10,0.6509,74,52,0.1351,0.1923
Scheduling_appt,checking_understanding/clarification,10,0.6487,153,20,0.0654,0.5
Acknowledge_Error,Express_concern/unease,10,0.6801,16,25,0.625,0.4
Prognosis,active_participation_/involvement,10,0.6882,6,146,1.6667,0.0685
Alignment,Approval/Reinforcement,9,0.6868,88,25,0.1023,0.36
Economic_stability,Scheduling_appt,9,0.6229,25,153,0.36,0.0588
Health_care_access_and_quality,checking_understanding/clarification,9,0.6812,100,20,0.09,0.45
Health_care_access_and_quality,Maintain_communication,9,0.6504,100,74,0.09,0.1216
Connection,Symptoms,9,0.6531,105,115,0.0857,0.0783
Approval/Reinforcement,Connection,9,0.6982,25,105,0.36,0.0857
Express_concern/unease,Symptoms,9,0.6042,25,115,0.36,0.0783
Connection,Maintain_communication,9,0.705,105,74,0.0857,0.1216
Connection,Scheduling_appt,9,0.723,105,153,0.0857,0.0588
Alignment,salutation,9,0.8868,88,333,0.1023,0.027
Scheduling_appt,Share_options,9,0.6687,153,17,0.0588,0.5294
Approval/Reinforcement,active_participation_/involvement,8,0.6185,25,146,0.32,0.0548
Scheduling_appt,invite_collaboration,8,0.64,153,11,0.0523,0.7273
Diagnostics,Share_options,8,0.6332,205,17,0.039,0.4706
Diagnostics,Express_concern/unease,8,0.5774,205,25,0.039,0.32
Connection,active_participation_/involvement,8,0.6348,105,146,0.0762,0.0548
Appreciation/gratitude,active_participation_/involvement,8,0.6021,121,146,0.0661,0.0548
Care_Coordination,Economic_stability,8,0.637,176,25,0.0455,0.32
checking_understanding/clarification,express_opinions,8,0.6261,20,52,0.4,0.1538
Acknowledge_Error,Sadness/fear,8,0.6846,16,10,0.5,0.8
Care_Coordination,Seeking_Approval,7,0.6698,176,29,0.0398,0.2414
Approval/Reinforcement,Care_Coordination,7,0.6159,25,176,0.28,0.0398
Positive_Remarks/Reward,Symptoms,7,0.6512,6,115,1.1667,0.0609
Diagnostics,Seeking_Approval,7,0.6324,205,29,0.0341,0.2414
Connection,Positive_Remarks/Reward,7,0.6836,105,6,0.0667,1.1667
Economic_stability,active_participation_/involvement,7,0.6242,25,146,0.28,0.0479
active_participation_/involvement,express_opinions,7,0.6118,146,52,0.0479,0.1346
Diagnostics,state_preferences,7,0.6264,205,45,0.0341,0.1556
active_participation_/involvement,invite_collaboration,7,0.6751,146,11,0.0479,0.6364
Maintain_communication,state_preferences,7,0.6273,74,45,0.0946,0.1556
express_opinions,state_preferences,7,0.6461,52,45,0.1346,0.1556
Express_concern/unease,Reassurance,6,0.6242,25,14,0.24,0.4286
Diagnostics,build_trust,6,0.6752,205,9,0.0293,0.6667
Diagnostics,Explore_options,6,0.6003,205,18,0.0293,0.3333
Diagnostics,Economic_stability,6,0.6439,205,25,0.0293,0.24
Prognosis,Symptoms,6,0.5809,6,115,1.0,0.0522
Connection,Sadness/fear,6,0.5943,105,10,0.0571,0.6
General_information,state_preferences,6,0.6212,162,45,0.037,0.1333
Care_Coordination,Reassurance,6,0.6289,176,14,0.0341,0.4286
General_information,invite_collaboration,6,0.6622,162,11,0.037,0.5455
Appreciation/gratitude,Care_Coordination,6,0.7394,121,176,0.0496,0.0341
invite_collaboration,state_preferences,6,0.6337,11,45,0.5455,0.1333
Explore_options,Health_care_access_and_quality,5,0.6542,18,100,0.2778,0.05
Explore_options,Scheduling_appt,5,0.6245,18,153,0.2778,0.0327
Drugs,Symptoms,5,0.616,174,115,0.0287,0.0435
Alignment,General_information,5,0.7421,88,162,0.0568,0.0309
Acknowledge_Error,Connection,5,0.5958,16,105,0.3125,0.0476
Making_decision_together,instruction,5,0.6205,13,44,0.3846,0.1136
Diagnostics,Reassurance,5,0.5793,205,14,0.0244,0.3571
Express_concern/unease,Seeking_Approval,5,0.5767,25,29,0.2,0.1724
Approval/Reinforcement,Share_options,5,0.6346,25,17,0.2,0.2941
Reassurance,Symptoms,5,0.5932,14,115,0.3571,0.0435
Seeking_Approval,state_preferences,5,0.6575,29,45,0.1724,0.1111
Diagnostics,Making_decision_together,5,0.6566,205,13,0.0244,0.3846
General_information,checking_understanding/clarification,5,0.6231,162,20,0.0309,0.25
Diagnostics,Neighborhood_and_built_environment,5,0.5778,205,7,0.0244,0.7143
Drugs,Economic_stability,4,0.6173,174,25,0.023,0.16
Approval/Reinforcement,General_information,4,0.5969,25,162,0.16,0.0247
General_information,Reassurance,4,0.5799,162,14,0.0247,0.2857
Diagnostics,Summarize_and_confirm_understanding,4,0.725,205,7,0.0195,0.5714
Health_care_access_and_quality,Symptoms,4,0.621,100,115,0.04,0.0348
Alignment,Diagnostics,4,0.6317,88,205,0.0455,0.0195
checking_understanding/clarification,state_preferences,4,0.6732,20,45,0.2,0.0889
Express_concern/unease,General_information,4,0.6441,25,162,0.16,0.0247
Diagnostics,Symptoms,4,0.6193,205,115,0.0195,0.0348
Sadness/fear,Symptoms,4,0.6769,10,115,0.4,0.0348
Express_concern/unease,active_participation_/involvement,4,0.5843,25,146,0.16,0.0274
Symptoms,state_preferences,4,0.6184,115,45,0.0348,0.0889
Health_care_access_and_quality,Prognosis,4,0.5704,100,6,0.04,0.6667
Maintain_communication,invite_collaboration,4,0.6269,74,11,0.0541,0.3636
Care_Coordination,Share_options,4,0.5965,176,17,0.0227,0.2353
Diagnostics,Prognosis,4,0.5539,205,6,0.0195,0.6667
Making_decision_together,Seeking_Approval,4,0.6476,13,29,0.3077,0.1379
Prognosis,Summarize_and_confirm_understanding,4,0.6474,6,7,0.6667,0.5714
Explore_options,Maintain_communication,4,0.6251,18,74,0.2222,0.0541
Drugs,Express_concern/unease,4,0.5849,174,25,0.023,0.16
Connection,salutation,4,0.7084,105,333,0.0381,0.012
Economic_stability,instruction,4,0.6361,25,44,0.16,0.0909
Drugs,state_preferences,4,0.5821,174,45,0.023,0.0889
Share_options,Symptoms,4,0.6105,17,115,0.2353,0.0348
Scheduling_appt,signoff,4,0.6646,153,249,0.0261,0.0161
Seeking_Approval,express_opinions,4,0.705,29,52,0.1379,0.0769
Maintain_communication,Symptoms,4,0.6415,74,115,0.0541,0.0348
Encourage_questions,active_participation_/involvement,3,0.6149,2,146,1.5,0.0205
Economic_stability,Symptoms,3,0.6227,25,115,0.12,0.0261
Economic_stability,invite_collaboration,3,0.6614,25,11,0.12,0.2727
Alignment,Reassurance,3,0.6817,88,14,0.0341,0.2143
Maintain_communication,checking_understanding/clarification,3,0.569,74,20,0.0405,0.15
express_opinions,instruction,3,0.6001,52,44,0.0577,0.0682
Approval/Reinforcement,Explore_options,3,0.6079,25,18,0.12,0.1667
Economic_stability,Maintain_communication,3,0.639,25,74,0.12,0.0405
General_information,Share_options,3,0.6124,162,17,0.0185,0.1765
instruction,invite_collaboration,3,0.6185,44,11,0.0682,0.2727
Making_decision_together,Share_options,3,0.5718,13,17,0.2308,0.1765
Making_decision_together,active_participation_/involvement,3,0.6505,13,146,0.2308,0.0205
Explore_options,Making_decision_together,3,0.6045,18,13,0.1667,0.2308
Acknowledge_Error,active_participation_/involvement,3,0.5756,16,146,0.1875,0.0205
Alignment,invite_collaboration,3,0.8355,88,11,0.0341,0.2727
Share_options,invite_collaboration,2,0.6037,17,11,0.1176,0.1818
Encourage_questions,General_information,2,0.6115,2,162,1.0,0.0123
Acknowledge_Error,General_information,2,0.6067,16,162,0.125,0.0123
Alignment,Drugs,2,0.6213,88,174,0.0227,0.0115
Drugs,invite_collaboration,2,0.6095,174,11,0.0115,0.1818
General_information,build_trust,2,0.6423,162,9,0.0123,0.2222
Approval/Reinforcement,Health_care_access_and_quality,2,0.6494,25,100,0.08,0.02
Reassurance,instruction,2,0.6737,14,44,0.1429,0.0455
build_trust,express_opinions,2,0.6741,9,52,0.2222,0.0385
General_information,Making_decision_together,2,0.5626,162,13,0.0123,0.1538
Diagnostics,invite_collaboration,2,0.6862,205,11,0.0098,0.1818
Alignment,Health_care_access_and_quality,2,0.7662,88,100,0.0227,0.02
Approval/Reinforcement,Reassurance,2,0.8651,25,14,0.08,0.1429
Appreciation/gratitude,Positive_Remarks/Reward,2,0.6648,121,6,0.0165,0.3333
Appreciation/gratitude,salutation,2,0.8859,121,333,0.0165,0.006
Maintain_communication,Share_options,2,0.5818,74,17,0.027,0.1176
Approval/Reinforcement,Express_concern/unease,2,0.5559,25,25,0.08,0.08
Sadness/fear,instruction,2,0.6454,10,44,0.2,0.0455
Symptoms,instruction,2,0.5511,115,44,0.0174,0.0455
Connection,instruction,2,0.5666,105,44,0.019,0.0455
Connection,express_opinions,2,0.5759,105,52,0.019,0.0385
Seeking_Approval,Share_options,2,0.6341,29,17,0.069,0.1176
Share_options,active_participation_/involvement,2,0.5646,17,146,0.1176,0.0137
Explore_options,Symptoms,2,0.5559,18,115,0.1111,0.0174
Summarize_and_confirm_understanding,Symptoms,2,0.5775,7,115,0.2857,0.0174
Explore_options,General_information,2,0.6069,18,162,0.1111,0.0123
Explore_options,Share_options,2,0.7013,18,17,0.1111,0.1176
Reassurance,active_participation_/involvement,2,0.6198,14,146,0.1429,0.0137
active_participation_/involvement,build_trust,2,0.758,146,9,0.0137,0.2222
Approval/Reinforcement,instruction,2,0.5767,25,44,0.08,0.0455
Seeking_Approval,invite_collaboration,2,0.7033,29,11,0.069,0.1818
Approval/Reinforcement,invite_collaboration,2,0.9044,25,11,0.08,0.1818
Maintain_communication,build_trust,2,0.6555,74,9,0.027,0.2222
Prognosis,checking_understanding/clarification,2,0.5745,6,20,0.3333,0.1
Acknowledge_Error,Care_Coordination,2,0.5648,16,176,0.125,0.0114
General_information,Summarize_and_confirm_understanding,2,0.6404,162,7,0.0123,0.2857
Summarize_and_confirm_understanding,active_participation_/involvement,2,0.6452,7,146,0.2857,0.0137
Summarize_and_confirm_understanding,express_opinions,2,0.6994,7,52,0.2857,0.0385
Making_decision_together,express_opinions,2,0.6102,13,52,0.1538,0.0385
General_information,Seeking_Approval,2,0.5919,162,29,0.0123,0.069
Making_decision_together,Scheduling_appt,2,0.6431,13,153,0.1538,0.0131
Share_options,express_opinions,2,0.6379,17,52,0.1176,0.0385
Seeking_Approval,checking_understanding/clarification,2,0.7743,29,20,0.069,0.1
Approval/Reinforcement,checking_understanding/clarification,2,0.6434,25,20,0.08,0.1
Acknowledge_Error,instruction,2,0.585,16,44,0.125,0.0455
Care_Coordination,checking_understanding/clarification,2,0.5938,176,20,0.0114,0.1
Care_Coordination,Making_decision_together,2,0.6137,176,13,0.0114,0.1538
instruction,state_preferences,2,0.563,44,45,0.0455,0.0444
Acknowledge_Error,Reassurance,2,0.5764,16,14,0.125,0.1429
Alignment,state_preferences,2,0.7194,88,45,0.0227,0.0444
express_opinions,invite_collaboration,2,0.702,52,11,0.0385,0.1818
Maintain_communication,signoff,2,0.5821,74,249,0.027,0.008
Appreciation/gratitude,Scheduling_appt,2,0.5735,121,153,0.0165,0.0131
Explore_options,express_opinions,2,0.668,18,52,0.1111,0.0385
Express_concern/unease,Making_decision_together,2,0.6172,25,13,0.08,0.1538
Alignment,Appreciation/gratitude,1,0.5923,88,121,0.0114,0.0083
checking_understanding/clarification,instruction,1,0.5547,20,44,0.05,0.0227
Health_care_access_and_quality,express_opinions,1,0.6138,100,52,0.01,0.0192
Connection,invite_collaboration,1,0.5774,105,11,0.0095,0.0909
Alignment,Symptoms,1,0.5547,88,115,0.0114,0.0087
Approval/Reinforcement,Economic_stability,1,0.7096,25,25,0.04,0.04
Alignment,Economic_stability,1,0.7085,88,25,0.0114,0.04
Care_Coordination,build_trust,1,0.5948,176,9,0.0057,0.1111
Care_Coordination,signoff,1,0.5592,176,249,0.0057,0.004
Explore_options,instruction,1,0.6827,18,44,0.0556,0.0227
Summarize_and_confirm_understanding,instruction,1,0.598,7,44,0.1429,0.0227
Maintain_communication,Reassurance,1,0.5924,74,14,0.0135,0.0714
Appreciation/gratitude,Maintain_communication,1,0.5519,121,74,0.0083,0.0135
Making_decision_together,invite_collaboration,1,0.6599,13,11,0.0769,0.0909
Approval/Reinforcement,Making_decision_together,1,0.6517,25,13,0.04,0.0769
Symptoms,signoff,1,0.6197,115,249,0.0087,0.004
Approval/Reinforcement,express_opinions,1,0.6318,25,52,0.04,0.0192
Positive_Remarks/Reward,Reassurance,1,0.5721,6,14,0.1667,0.0714
Care_Coordination,invite_collaboration,1,0.5835,176,11,0.0057,0.0909
Acknowledge_Error,Economic_stability,1,0.6545,16,25,0.0625,0.04
Acknowledge_Error,Alignment,1,0.5878,16,88,0.0625,0.0114
Acknowledge_Error,Scheduling_appt,1,0.5815,16,153,0.0625,0.0065
Acknowledge_Error,Approval/Reinforcement,1,0.5801,16,25,0.0625,0.04
Health_care_access_and_quality,Neighborhood_and_built_environment,1,0.596,100,7,0.01,0.1429
Neighborhood_and_built_environment,Scheduling_appt,1,0.592,7,153,0.1429,0.0065
Share_options,checking_understanding/clarification,1,0.5569,17,20,0.0588,0.05
Scheduling_appt,Symptoms,1,0.5532,153,115,0.0065,0.0087
Economic_stability,state_preferences,1,0.5608,25,45,0.04,0.0222
Connection,state_preferences,1,0.5713,105,45,0.0095,0.0222
Maintain_communication,Making_decision_together,1,0.575,74,13,0.0135,0.0769
Health_care_access_and_quality,Seeking_Approval,1,0.5957,100,29,0.01,0.0345
Encourage_questions,invite_collaboration,1,0.5593,2,11,0.5,0.0909
Approval/Reinforcement,state_preferences,1,0.7141,25,45,0.04,0.0222
