anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.694997251033783
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,They have asked if we can send the PET report and scans to them beforehand,Information-Giving||Care_Coordination,0.6933441162109375
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Information-Seeking||Drugs,0.6884222626686096
Please advise me how to submit this to,Information-Seeking||General_information,Please let me know when submitted,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6247461438179016
if you can assist me in doing that,Information-Seeking||General_information,Let me know if I can help you with anything else,PROVIDER_Shared-Decision_Making||Encourage_questions,0.6114929914474487
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,That will work,PATIENT_PARTNERSHIP||Alignment,0.6012188792228699
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,Let me know if this will not work,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5572013854980469
please call,Information-Giving||General_information,Give  them a call,Information-Giving||instruction,0.6478681564331055
please call,Information-Giving||General_information,Give them a call,Information-Giving||instruction,0.6478681564331055
please call,Information-Giving||General_information,I completely forgot to let you know we wouldn't be calling,Socioemotional_/_Empathy||Acknowledge_Error,0.6067199110984802
please call,Information-Giving||General_information,Would one of you be able to give me a call this morning?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6030635237693787
please call,Information-Giving||General_information,so  you should be able to call tomorrow,Information-Giving||instruction,0.5878742933273315
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,Information-Giving||instruction,0.7347866296768188
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,They have asked if we can send the PET report and scans to them beforehand,Information-Giving||Care_Coordination,0.7046020030975342
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.6895427703857422
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Information-Seeking||Drugs,0.6753873825073242
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,Should we bring forward the PET scans planned for MM/DD/YYYY or defer them until after the treatment has ended?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.6316252946853638
have it a LOCATION,Information-Giving_SDOH||Health_care_access_and_quality,please have them send it to us at,Information-Giving||Care_Coordination,0.5614433884620667
had an appt w,Information-Giving||Scheduling_appt,Unfortunately I worked last night and came home this morning and fell asleep causing me to miss my appt today,Information-Giving_SDOH||Economic_stability,0.5766492486000061
he would order blood tests,Information-Giving||Diagnostics,For my upcoming visit I don see any blood test required?,Information-Seeking||Diagnostics,0.5521506667137146
he would order blood tests,Information-Giving||Diagnostics,For my upcoming visit I don see any blood test required?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5521506667137146
send CT scan and report,Information-Giving||Diagnostics,Also please call and get MM/DD/YYYY CT scan scheduled,Information-Giving||Scheduling_appt,0.7502332329750061
send CT scan and report,Information-Giving||Diagnostics,I was able to schedule the CT scans,Information-Giving||Scheduling_appt,0.7014089226722717
send CT scan and report,Information-Giving||Diagnostics,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.6221028566360474
I will let you know once I have more information,PROVIDER_PARTNERSHIP||Maintain_communication,Let me know if I can help you with anything else,PROVIDER_Shared-Decision_Making||Encourage_questions,0.5701795816421509
Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
has done well managing pain,Information-Giving||Symptoms,Would this treat the pain temporarily?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6197595596313477
has been taking Oxycodone,Information-Giving||Drugs,I sent the prescription for oxycodone to Dr. Person1 to sign,Information-Giving||Care_Coordination,0.5850875377655029
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0
Thank you for the update,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you for the follow up.,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.5703656077384949
take care of these prescriptions,Information-Giving||Drugs,They are ok to order but need your prescription,Information-Giving||Care_Coordination,0.6845090985298157
take care of these prescriptions,Information-Giving||Drugs,Prescription has been sent in,PROVIDER_PARTNERSHIP||Maintain_communication,0.6179322004318237
take care of these prescriptions,Information-Giving||Drugs,not sure if this is right section my husband picked up prescriptions,PATIENT_PARTNERSHIP||express_opinions,0.6049268245697021
give Dr. Person1 Dr. Person2 cell  phone,Information-Giving||Care_Coordination,I wanted to reach out to Dr. Person1,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6623302102088928
give Dr. Person1 Dr. Person2 cell  phone,Information-Giving||Care_Coordination,Please let Person2 and I know if you are able to have Dr  Person5 do this for us,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6585640907287598
Hello,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,1.0000003576278687
Hello,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,1.0000003576278687
Hello,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,1.0000003576278687
thank you and All for your help!,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you for your help,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.7633805871009827
thank you and All for your help!,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you for your help,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.7633805274963379
thank you and All for your help!,PROVIDER_PARTNERSHIP||Appreciation/gratitude,thank you for all your help today,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.7408208250999451
thank you and All for your help!,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thanks again for your help and support,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.6236960291862488
is having a tough day with pain,Information-Giving||Symptoms,Is there anything I can get to help with that pain?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6008086800575256
is having a tough day with pain,Information-Giving||Symptoms,Are you feeling better today?,Information-Seeking||Symptoms,0.5606263875961304
I am on the lookout for the permission / patient approval document,Information-Giving||Care_Coordination,We have been directing patients to their PCP office or the Org2 website,Information-Giving||General_information,0.5519456267356873
I'll let you know as soon as that is completed,PATIENT_PARTNERSHIP||active_participation_/involvement,I will let you know as soon as he answers me,PROVIDER_PARTNERSHIP||Maintain_communication,0.5902190208435059
I'll let you know as soon as that is completed,PATIENT_PARTNERSHIP||active_participation_/involvement,I'll let you know when I  hear back,PROVIDER_PARTNERSHIP||Maintain_communication,0.5817515850067139
I would like to add one more Rx request,Information-Seeking||Drugs,I sent the new Rx,Information-Giving||Drugs,0.6135662198066711
Dr. Person4 was speaking with Dr. Person5,Information-Giving||Care_Coordination,Why did Dr. Person4  not see this,PATIENT_PARTNERSHIP||express_opinions,0.7702109813690186
Dr. Person4 was speaking with Dr. Person5,Information-Giving||Care_Coordination,I see Dr  Person1 on,Information-Giving||Scheduling_appt,0.6275184750556946
not rec'd email message from blood testing lab,Information-Giving||Diagnostics,I sent the message to Dr. Person2 yesterday evening and have not gotten a response yet,Information-Giving||Care_Coordination,0.5674786567687988
Person1 has MM/DD/YYYY,Information-Giving||Scheduling_appt,I had two this year (both Person2) one in MM/DD/YYYY and the other in MM/DD/YYYY,Information-Giving||Drugs,0.7615808844566345
Person1 has MM/DD/YYYY,Information-Giving||Scheduling_appt,I had two this year (both Person2) one in MM/DD/YYYY and the other in MM/DD/YYYY,Information-Giving||Drugs,0.7615808844566345
Person1 has MM/DD/YYYY,Information-Giving||Scheduling_appt,I will check back with Person1 early MM/DD/YYYY,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6834449172019958
Person1 has MM/DD/YYYY,Information-Giving||Scheduling_appt,MM/DD/YYYY is good,PATIENT_PARTNERSHIP||Alignment,0.6806966066360474
Person1 has MM/DD/YYYY,Information-Giving||Scheduling_appt,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6742023229598999
Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,I see Dr  Person1 on,Information-Giving||Scheduling_appt,0.7246928811073303
Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,Can Dr  Person3 do that?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.7138359546661377
Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,We will let you know if Dr Person2 is able to complete,PROVIDER_PARTNERSHIP||Maintain_communication,0.7003270387649536
Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,If Dr. Person1 then certainly ok.,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.689336359500885
Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,Dr. Person2 is involved in my treatment,Information-Giving||Care_Coordination,0.689014196395874
Greetings,PROVIDER_PARTNERSHIP||salutation,Greetings,PATIENT_PARTNERSHIP||salutation,1.000000238418579
Greetings,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.699611485004425
Greetings,PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.699611485004425
would like to see Person2 in the office MM/DD/YYYY,Information-Giving||Scheduling_appt,look forward to meeting with Dr  Person2 on MM/DD/YYYY,Information-Giving||Care_Coordination,0.6302222609519958
would like to see Person2 in the office MM/DD/YYYY,Information-Giving||Scheduling_appt,I will check back with Person1 early MM/DD/YYYY,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5890880227088928
would like to see Person2 in the office MM/DD/YYYY,Information-Giving||Scheduling_appt,Is it possible to have Person2 help with this please?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5888590812683105
I also spoke w Dr. B about 2 Rxs,Information-Giving||Drugs,I discussed with Dr,Information-Giving||Care_Coordination,0.5740815997123718
I also spoke w Dr. B about 2 Rxs,Information-Giving||Drugs,May I speak with Dr  Person1 XXX-XXX-XXXX,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5548897385597229
I also spoke w Dr. B about 2 Rxs,Information-Giving||Drugs,I discussed with Dr Person2,Information-Giving||Care_Coordination,0.5544874668121338
I also spoke w Dr. B about 2 Rxs,Information-Giving||Drugs,I discussed with Dr Person2,Information-Giving||Care_Coordination,0.5544874668121338
I also spoke w Dr. B about 2 Rxs,Information-Giving||Drugs,Just confirming that you heard from Dr. Person2 after my consultation with him on MM/DD/YYYY,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5501357316970825
Eliquis 5mg; current Rx will run out,Information-Giving||Drugs,how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking||Drugs,0.6622751355171204
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0
how many a day is he taking,Information-Seeking||Drugs,I take two per  Day (400 mg),Information-Giving||Drugs,0.6388786435127258
how many a day is he taking,Information-Seeking||Drugs,are you taking him for repeat labs and urine today or tomorrow?,Information-Seeking||Diagnostics,0.6023111939430237
how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking||Drugs,I take two per  Day (400 mg),Information-Giving||Drugs,0.6680413484573364
how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking||Drugs,Eliquis 5mg; current Rx will run out,Information-Giving||Drugs,0.6622751355171204
how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking||Drugs,Re Eliquis: MM/DD/YYYY two 5mg tabs morning and night,Information-Giving||Drugs,0.6056983470916748
Hello,PATIENT_PARTNERSHIP||salutation,Hello,PROVIDER_PARTNERSHIP||salutation,1.0000003576278687
Hello,PATIENT_PARTNERSHIP||salutation,Hello,PROVIDER_PARTNERSHIP||salutation,1.0000003576278687
"Yep, just got a call for MM/DD/YYYY w",Information-Giving||Scheduling_appt,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.7009842395782471
"Yep, just got a call for MM/DD/YYYY w",Information-Giving||Scheduling_appt,"MM/DD/YYYY, is that good ?",PROVIDER_PARTNERSHIP||invite_collaboration,0.6956179738044739
"Yep, just got a call for MM/DD/YYYY w",Information-Giving||Scheduling_appt,MM/DD/YYYY is good,PATIENT_PARTNERSHIP||Alignment,0.6933150887489319
"Yep, just got a call for MM/DD/YYYY w",Information-Giving||Scheduling_appt,Yes MM/DD/YYYY org1,PROVIDER_PARTNERSHIP||Alignment,0.6612761616706848
per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,Information-Giving||Care_Coordination,Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,0.6329430341720581
per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,Information-Giving||Care_Coordination,Can Dr  Person3 do that?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5649462342262268
work down to lowest usage Oxy rapid w/o dealing w break through pain,Information-Giving||Drugs,Really cuts the pain down to almost nothing,Information-Giving||Symptoms,0.5763238668441772
I've set up Person3's other,Information-Giving||Scheduling_appt,"I will have Person3, APRN sign the orders",Information-Giving||Care_Coordination,0.6112537980079651
I've set up Person3's other,Information-Giving||Scheduling_appt,"Unfortunately, since Person3 doesn't use the same system we do, images cannot be shared",Information-Giving||General_information,0.6070958375930786
I've set up Person3's other,Information-Giving||Scheduling_appt,I'll have Person1 help out,Information-Giving||Care_Coordination,0.5876352190971375
I've set up Person3's other,Information-Giving||Scheduling_appt,My name is Person2 and I am the RN that works with Dr. Person3,Information-Giving||General_information,0.576744794845581
I've set up Person3's other,Information-Giving||Scheduling_appt,Would also like to coordinate follow ups with Person2 and Person3,PATIENT_PARTNERSHIP||state_preferences,0.576600968837738
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,MM/DD/YYYY is good,PATIENT_PARTNERSHIP||Alignment,0.685556173324585
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6832324266433716
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,Can I change this to MM/DD/YYYY or MM/DD/YYYY ?,Information-Seeking||Scheduling_appt,0.6749117374420166
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,I put you off work from MM/DD/YYYY to MM/DD/YYYY,Information-Giving_SDOH||Economic_stability,0.6596776247024536
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,"MM/DD/YYYY, is that good ?",PROVIDER_PARTNERSHIP||invite_collaboration,0.6447727084159851
Re Eliquis: MM/DD/YYYY two 5mg tabs morning and night,Information-Giving||Drugs,how is he taking the Eliquis:  5mg a day or twice a day,Information-Seeking||Drugs,0.6056983470916748
MM/DD/YYYY one 5mg am and one 5mg pm,Information-Giving||Drugs,Just want to make sure I take what I should correctly for MM/DD/YYYY,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6146745681762695
Sig swelling (but improving slightly) swelling of right leg persists,Information-Giving||Symptoms,Have you checked with your cardiologist re your ankle swelling?,Information-Seeking||Care_Coordination,0.5686115622520447
Person3 is tolerating all meds well and following directions,Information-Giving||Drugs,Dr. Person2 is involved in my treatment,Information-Giving||Care_Coordination,0.6208613514900208
Person3 is tolerating all meds well and following directions,Information-Giving||Drugs,It looks like Dr. Person2 was ok with you waiting til  MM/DD/YYYY to start the new medication,Information-Giving||Care_Coordination,0.6122137904167175
Person3 is tolerating all meds well and following directions,Information-Giving||Drugs,Dr. Person1 has the final word regarding my treatments and regimens,Information-Giving||Care_Coordination,0.6100609302520752
Person3 is tolerating all meds well and following directions,Information-Giving||Drugs,I will go over this with Dr  Person1 today,Information-Giving||Care_Coordination,0.6073957085609436
Thanks a ton,PATIENT_PARTNERSHIP||Appreciation/gratitude,No problem,PROVIDER_PARTNERSHIP||Connection,0.5922769904136658
Thanks a ton,PATIENT_PARTNERSHIP||Appreciation/gratitude,No problem,PATIENT_PARTNERSHIP||Alignment,0.5922769904136658
Thanks a ton,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thanks,PATIENT_PARTNERSHIP||signoff,0.5708644390106201
Thanks a ton,PATIENT_PARTNERSHIP||Appreciation/gratitude,Thanks,PROVIDER_PARTNERSHIP||signoff,0.5708644390106201
best,PATIENT_PARTNERSHIP||signoff,Best,PROVIDER_PARTNERSHIP||signoff,1.0000003576278687
Thank you,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you,PROVIDER_PARTNERSHIP||signoff,1.0000005960464478
Thank you,PROVIDER_PARTNERSHIP||Appreciation/gratitude,Thank you,PATIENT_PARTNERSHIP||signoff,1.0000005960464478
I sent the new Rx,Information-Giving||Drugs,I would like to add one more Rx request,Information-Seeking||Drugs,0.6135662198066711
I hope he signs it MM/DD/YYYY but it may not be  until MM/DD/YYYY,Information-Giving||General_information,I see an appointment for the MM/DD/YYYY,Information-Giving||Scheduling_appt,0.6139532923698425
I hope he signs it MM/DD/YYYY but it may not be  until MM/DD/YYYY,Information-Giving||General_information,Next one is scheduled for MM/DD/YYYY,Information-Giving||Scheduling_appt,0.5654425621032715
Greetings,PATIENT_PARTNERSHIP||salutation,Greetings,PROVIDER_PARTNERSHIP||salutation,1.000000238418579
Greetings,PATIENT_PARTNERSHIP||salutation,Greetings,PROVIDER_PARTNERSHIP||salutation,1.000000238418579
rec'd a notice MM/DD/YYYY,Information-Giving||General_information,I see an appointment for the MM/DD/YYYY,Information-Giving||Scheduling_appt,0.6451557278633118
rec'd a notice MM/DD/YYYY,Information-Giving||General_information,MM/DD/YYYY is good!,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.612816572189331
rec'd a notice MM/DD/YYYY,Information-Giving||General_information,See you MM/DD/YYYY,PATIENT_PARTNERSHIP||Connection,0.6098546385765076
rec'd a notice MM/DD/YYYY,Information-Giving||General_information,See you MM/DD/YYYY,PATIENT_PARTNERSHIP||Connection,0.6098545789718628
rec'd a notice MM/DD/YYYY,Information-Giving||General_information,MM/DD/YYYY is good,PATIENT_PARTNERSHIP||Alignment,0.6012924313545227
Anything I can do?,PATIENT_PARTNERSHIP||active_participation_/involvement,Is there something else I could try?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.5642737150192261
"Hello,",PATIENT_PARTNERSHIP||salutation,"Hello,",PROVIDER_PARTNERSHIP||salutation,0.9999997615814209
"Hello,",PATIENT_PARTNERSHIP||salutation,Hello,PROVIDER_PARTNERSHIP||salutation,0.8992187976837158
"Hello,",PATIENT_PARTNERSHIP||salutation,Hello,PROVIDER_PARTNERSHIP||salutation,0.8992187976837158
I was just looking at my calendar and realized my next appt,Information-Giving||Scheduling_appt,Unfortunately I worked last night and came home this morning and fell asleep causing me to miss my appt today,Information-Giving_SDOH||Economic_stability,0.5802661180496216
That is MM/DD/YYYY I'm supposed to start my next round of Ibrance??,Information-Giving||Drugs,When do I begin Ibrance again?,Information-Seeking||Drugs,0.6988826394081116
That is MM/DD/YYYY I'm supposed to start my next round of Ibrance??,Information-Giving||Drugs,"Per Person1, as long as you are feeling ok you can go ahead and start Ibrance today!",PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6484701037406921
That is MM/DD/YYYY I'm supposed to start my next round of Ibrance??,Information-Giving||Drugs,Should I start Ibrance tonight?,PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0.6436272859573364
I will be finishing my week off on MM/DD/YYYY ( MM/DD/YYYY my labs are scheduled,Information-Giving||Scheduling_appt,I gets labs done early tomorrow,Information-Giving||Diagnostics,0.6348364353179932
I will be finishing my week off on MM/DD/YYYY ( MM/DD/YYYY my labs are scheduled,Information-Giving||Scheduling_appt,I will get labs first am,Information-Giving||Diagnostics,0.5976346731185913
The pharmacy won't have time to get my meds delivered to me if we keep this schedule,Information-Giving||Drugs,I setup for them to ship the medication to me,PATIENT_PARTNERSHIP||active_participation_/involvement,0.7031570672988892
The pharmacy won't have time to get my meds delivered to me if we keep this schedule,Information-Giving||Drugs,The pharmacy will contact you when  its ready to pick up,PROVIDER_PARTNERSHIP||Maintain_communication,0.6438404321670532
The pharmacy won't have time to get my meds delivered to me if we keep this schedule,Information-Giving||Drugs,"you can call them to arrange this, the pharmacy # is  XXX-XXX-XXXX",Information-Giving||instruction,0.6315692663192749
Please advise,Information-Seeking||General_information,Your advice please,PATIENT_PARTNERSHIP||active_participation_/involvement,0.7185097336769104
Please advise,Information-Seeking||General_information,Appreciate your advice,PATIENT_PARTNERSHIP||build_trust,0.6422739624977112
Please advise,Information-Seeking||General_information,Please keep me informed,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5706859827041626
Thank you very much,PATIENT_PARTNERSHIP||signoff,Thank you very much,PROVIDER_PARTNERSHIP||Appreciation/gratitude,1.000000238418579
Thank you very much,PATIENT_PARTNERSHIP||signoff,Thank you so much,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.8213021159172058
"Hello,",PROVIDER_PARTNERSHIP||salutation,"Hello,",PATIENT_PARTNERSHIP||salutation,0.9999997615814209
"Hello,",PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.8992187976837158
"Hello,",PROVIDER_PARTNERSHIP||salutation,Hello,PATIENT_PARTNERSHIP||salutation,0.8992187976837158
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,you have can labs drawn before seeing,Information-Giving||Diagnostics,0.6250007748603821
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,"My  blood draw and appointment with Dr. Person1 will be in the Org2 office on MM/DD/YYYY, starting at 9:30 AM, correct?",Information-Seeking||Scheduling_appt,0.5986259579658508
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5658657550811768
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5658656358718872
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,"I have an appointment with Dr. Person2 next MM/DD/YYYY, the MM/DD/YYYY",Information-Giving||Scheduling_appt,0.5606768727302551
The pharmacy is pretty quick to get meds out to patients,Information-Giving||Drugs,I setup for them to ship the medication to me,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5969117879867554
The pharmacy is pretty quick to get meds out to patients,Information-Giving||Drugs,Calling pharmacy today,Information-Giving||General_information,0.593955397605896
